"English","日本語";
"Leave","去る";
"UNIVERSE","宇宙";
"Creator","クリエーター";
"RULES","規則";
"Players in world","世界のプレイヤー";
"Players in universe","宇宙のプレーヤー";
"Players with Access","アクセスを持つプレイヤー";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","参加する秘密宇宙はありません。
新しいユニバースを作成し、友達に参加するように誘う！";
"View","見る";
"Customize Universe","宇宙をカスタマイズします";
"Universe Name:","ユニバース名：";
"Enter universe name...","ユニバース名を入力してください...";
"Mode:","モード：";
"Region:","領域：";
"Difficulty:","困難：";
"Normal","正常";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","ゲームがプレイされることを意図した方法。要素を戦い、リソースを検索し、あなたのスーツの読みを監視して、宇宙の過酷な気候で生きています。";
"Easy
","簡単
";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","より軽いオシリス：新しい夜明けの経験。あなたはまだ生き残る必要がありますが、経験はより寛容です。心配しなくなった探検家のために良い。";
"Extreme","extreme extreme";
"Test your survival skill to its limit. Your success is not assured. ","あなたの生存スキルをその限界にテストします。あなたの成功は保証されていません。";
"Creative
","創造的です
";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","クリーチャーやサバイバルゲームプレイの心配なしにあなたが望むものを作ります。";
"Custom","カスタム";
"Make your Osiris experience perfect for you!","あなたのオシリスの経験をあなたに最適にする！";
"Delete","削除する";
"Invite
Players","招待する
プレーヤー";
"Update","更新";
"Advanced Customization","高度なカスタマイズ";
"Player","プレーヤー";
"Proficiency","熟練";
"Stat Points Per Level","レベルあたりの統計ポイント";
"Thirst","渇き";
"Hunger","飢え";
"Oxygen
Consumption","酸素
消費";
"Stamina
Consumption","元気
消費";
"Flashlight Power Drain (WIP)","懐中電灯パワードレイン（WIP）";
"Fall
Damage","秋
ダメージ";
"Crash 
Items","クラッシュ
アイテム";
"Stamina Penalty Duration","スタミナペナルティ期間";
"No Stamina Speed","スタミナスピードなし";
"Hover Fuel
Consumption","ホバー燃料
消費";
"Hover 
Duration","h h
期間";
"Vehicle Fuel
Consumption","車両燃料
消費";
"Tool/Weapon 
Decay Rate","工具/武器
腐敗率";
"Structure Decay Speed","構造崩壊速度";
"Inventory Weight","在庫重量";
"Item Stack Size","アイテムスタックサイズ";
"Encumberance Penalty","包括的なペナルティ";
"Creative Mode
(Infinite Resources and Unlocks)","創作モード
（無限リソースとロック解除）";
"Invulnerability","無邪気性";
"First Person Hit Reaction","最初の人打撃反応";
"Pickup Animation","ピックアップアニメーション";
"Auto-Pickup Bonus Resources","自動ピックアップボーナスリソース";
"Planets","惑星";
"Resource Yield","リソース率";
"Mineral Respawn Rate","ミネラルレーブレート";
"Alien
Population","エイリアン
人口";
"Alien
Damage","エイリアン
ダメージ";
"Alien
Health","エイリアン
健康";
"Alien
Hearing","エイリアン
聴覚";
"Alien
Sight","エイリアン
視力";
"Alien Suit Breach Chance","エイリアンスーツ侵害チャンス";
"Plant Suit Breach Chance","植物のスーツの侵害チャンス";
"Slope Slip Modifier","スロープスリップ修飾子";
"Slope Damage Chance","斜面ダメージチャンス";
"Slope Breach Chance","斜面違反のチャンス";
"Weather Cycle Rate","天気サイクルレート";
"Time Cycle Rate","時間サイクル率";
"Storm Damage Chance","嵐のダメージチャンス";
"Storm Damage Amount","嵐の損傷量";
"Storm Suit Breach Chance","嵐のスーツのチャンス";
"Storm Spawn Chance","嵐の出現チャンス";
"Storm Length","嵐の長さ";
"Respawn HP","回答する";
"Permadeath (WIP)","permadeate（WIP）";
"Drop Inventory On Death","死の在庫を落として";
"Require Pressurization to Eat","加圧を食べる必要があります";
"Allow Space Travel","スペースの旅行を許可します";
"Invite Friends","友達を招待";
"You can invite up to 5 friends into your own private universe.","あなたはあなた自身の民間宇宙に最大5人の友達を招待することができます。";
"Friends","友達";
"+ Send Invite","+招待を送る";
"Invited Players","招待家";
"Uninvite Player","Uninvite Player.";
"What's New","新着情報";
"Space Station Crafting","宇宙ステーションが作成されました";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","低軌道であなた自身の宇宙ステーションを完全に洗練します。すべてのステーションモジュールは任意の組み合わせで相互接続することができ、設計とレイアウトの完全な柔軟性を可能にします。

各モジュールには、クラフト、電力システム、および保管など、独自の目的と機能があります。

宇宙ステーションは、大気中の既存の惑星の侵食や危険性がないため、貴重な資源を貯めるための興味深い戦略的オプションを作成しています。
";
"Next","次";
"* Just a few of the many modules you can create in Space Station crafting.","*宇宙ステーションの作成で作成できる多くのモジュールのほんの数例。";
"Nio Biomes","Nio Biomes";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2私たちが開発してきた新しいテクノロジーを利用しています。

私たちは世界のテクスチャの量を2倍にし、何百万もの草の刃を動かし、そして数えない新しい外国人の葉の葉が様々な資源をもたらしました。
";
"Previous","前";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","*しゃがみが今急な地形で安全なトラバーサルを可能にします。急な斜面を登ると、警告インジケーターが表示されます。";
"Discovery System
","発見システム
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","あなたがあなたの冒険で観察したすべてのものが発見されることができます。単純な実績以上のものではなく、発見システムは実際にはさまざまなリソースをすべてロック解除します。

基本的に、リソース上で使用される各武器またはツールは、異なる項目を生み出すことができ、太陽系およびそのすべての生活形態のより多くの科学的探査を可能にする。
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* Geysersは現在ガスの種類を表示し、ガスの収穫方法について説明します。";
"GPS Resource Filtering","GPSリソースフィルタリング";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","ミネラルはあなたの更新されたGPSでフィルタリングされるようになりました。この非常に便利なツール。これは常にあなたのHUDで利用可能で、あなたのロケータに添付されていなくなり、あなたの周囲の衛星とあなた自身の内部スーツのレーダーから読み込み、検出半径を作成します。

このシステムはあなたにすべての周囲のミネラル、彼らの硬さと密度を示すので、あなたがあなたのクラフトミッションであなたが探しているものを見つけることができます。
";
"* Satellite Dishes now display a radius for their scanning range.","*衛星ディッシュに走査範囲の半径が表示されます。";
"New Skill Tree","新しいスキルツリー";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","古いスキルツリーを交換する、UH、新しいスキルツリー！ Grindy Gatesの代わりに、あなたはあなたの能力を高める実際のスキルや「特典」のロックを解除することができます。

";
"Got it. Let's Go!","とった。行こう！";
"* Looting now fully functions on all creatures.","*略奪はすべてのクリーチャーに完全に機能します。";
"Removal of Build Gates
","ビルドゲートの除去
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","ビルドゲートはなくなり、私たちが恣意的かつ洗練されたと感じました。代わりに私たちがより理にかなっていると感じる構造の前提条件であり、より意味のあるものです。";
"Login","ログイン";
"Password","パスワード";
"Remember me on this device","このデバイスで私を覚えてください";
"Sign In","サインイン";
"Go Offline","オフラインになる";
"Sign Up","サインアップ";
"The user information you entered could not be found","入力したユーザー情報が見つかりませんでした";
"Confirm Password","パスワードを認証する";
"Graphics Settings","グラフィックス設定";
"Graphics Quality","グラフィックの質";
"Terrain Detail
","地形の詳細
";
"Draw Distance","距離を描く";
"Shadows","影";
"Scion Film Grain","SCIONフィルム穀物";
"Scion Mode","SCIONモード";
"Scion LUT","Scion Lut.";
"Beautify","美しさに";
"Dirty Lense","汚れた陳情";
"Ambient Occlusion","周囲の閉塞";
"Depth Of Field","被写界深度";
"Motion Blur","モーションブラー";
"Anti Aliasing","アンチエイリアシング";
"Volumetric Clouds","体積雲";
"Debug Text","デバッグテキスト";
"Camera And Sound","カメラとサウンド";
"First Person Field of View","一人称視野分野";
"First Person Sprint Field of View","一人称スプリント視野";
"First Person Camera Bob","一人称カメラボブ";
"Third Person Camera Bob","サードパーソンカメラボブ";
"Glitch FX","グリッチFX.";
"Mouse Sensitivity Horizontal","マウス感度水平";
"Mouse Sensitivity Vertical","マウス感度垂直";
"Mouse Smooth Step","マウススムーズステップ";
"Mouse Smooth Weight","マウス滑らかな体重";
"Invert Y","ねじる";
"Master Volume","マスターボリューム";
"Music Volume","音楽ボリューム";
"SFX Volume","SFXボリューム";
"Voice Volume","音量";
"Banter VO","バンターVo.";
"Cancel","キャンセル";
"Preview","プレビュー";
"Save And Continue","保存して続行";
"Key Bindings","キーバインディング";
"Open Key Bindings","オープンキーバインディング";
"Done","done";
"Restore Defaults","デフォルトに戻す";
"Players:","プレイヤー：";
"Controller:","コントローラ：";
"None","無し";
"Remove","削除する";
"Calibrate","校正";
"Assign Controller","コントローラを割り当てます";
"Assigned Controllers:","割り当てられたコントローラ：";
"Settings:","設定：";
"Categories:","カテゴリー：";
"Fullscreen","全画面表示";
"Custom Resolution","カスタム解像度";
"Resolution","解決";
"Width","幅";
"Enter text...","テキストを入力してください...";
"Bloom","咲く";
"Film Grain","フィルムグレイン";
"First Person Helmet","一人称ヘルメット";
"North Facing Map","北向きの地図";
"Erase Experimental Save Data","実験的なデータを消去します";
"HINT: Unequip gun to run faster_","ヒント：早く実行するためのUnequip Gun";
"Incoming Data","着信データ";
"Planet Data","惑星データ";
"Loading Persistent Nature","持続的な性質を読み込む";
"MULTIPLAYER","マルチプレイヤー";
"PLANET","惑星";
"STRUCTURES","struct struct";
"MACHINES","機械";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","オシリス：新しい夜明けはまだ早いアクセスにあります。バグを期待してください。あなたがSteamフォーラムの問題を報告することによって私たちを助けている何かを見つけるとき。ありがとうございました、オシリスを作りましょう。";
"Signing in","サインイン";
"Are you sure you want to quit the application?","アプリケーションを終了してもよくよろしいですか？";
"No","番号";
"Yes","はい";
"Confirmation Code","確認コード";
"There was an issue connecting to the network.","ネットワークに接続する問題がありました。";
"Quit","終了する";
"Retry","リトライ";
"HINT: Unequip gun to run faster","ヒント：より速く実行するためのUnequip Gun";
"Player Name","プレーヤの名前";
"Loading Avatar","アバターを読み込む";
"Habitat","生息地";
"A Habitat is a multi-purpose room that can house many interior items.","生息地は、多くの内装品を収容できる多目的な客室です。";
"Add to Backpack","バックパックに追加してください";
"Equip","装備";
"Store in Inventory","在庫に保管してください";
"Drink","ドリンク";
"Empty out","out";
"Drop","落とす";
"Customize Colors","色をカスタマイズします";
"Primary
","一次
";
"LAT","lat";
"LONG","長いです";
"Missions","ミッション";
"CRITICAL BREACH","批判的な違反";
"Oxygen Low","酸素低い";
"Local Time","現地時間";
"You Are Dehydrated
You are Starving","あなたは脱水されています
あなたは飢えています";
"Suit Pressue Low","スーツプレッか";
"You Are FREEZING","あなたは凍っています";
"Agility","機敏";
"Fortitude","fort fort";
"HOV","h";
"HLTH","h";
"Weight:","重量：";
"Inventory","在庫";
"Field Guide","フィールドガイド";
"Skills","スキル";
"Build / Craft [F3]","ビルド/クラフト[F3]";
"Data Selection
Matrix","データ選択
マトリックス";
"Env Pressure:","env prevession：";
"Env Temp:","env temp：";
"Personal Data Unit","個人データユニット";
"Osiris Mission Team","オシリスミッションチーム";
"Systems Data Selection","システムデータの選択";
"Build 248.517.68200","248.517.68200を構築する";
"Exit Data Matrix [Tab]","データ行列を終了する[タブ]";
"Log","ログ";
"[F4] - Map Settings
[M] - Center Toggle","[F4]  - マップ設定
[m]  - 中央のトグル";
"Zoom Out [-]
Zoom In [+]","ズームアウトする [-]
ズームイン[+]";
"Map Name","マップ名";
"Bot","ボット";
"House","家";
"Focus Area","注目されるところ";
"Health Area","健康地域";
"Scanning","走査";
"Spawn Location","出現場所";
"Equip Map To Cycle Targets","サイクルターゲットに地図を装備します";
"Aluminum","アルミニウム";
"Iron","鉄";
"Nearest Dish
Scanning...","最寄りの料理
走査...";
"Hold [RMB] and Mouse Scroll to Zoom","[rmb]とマウスがズームにスクロールします";
"© 2017 Fenix Fire Entertainment","©2017 Fenix Fire Entertainment.";
"Com Link
","COMリンク
";
"Mission List","ミッションリスト";
"Warning System
","警告システム
";
"o2 / Air Pressure
Internal Temp","O2 /空気圧
内温";
"Hydration / Gestation
Respiratory Vitals","水和/妊娠
呼吸器";
"Saving Data","データを保存します";
"Location Type","場所タイプ";
"-[ Tool Mode ]-"," -  [ツールモード]  - ";
"Set Target","ターゲットを設定します";
"Confirm Build","ビルドを確認してください";
"Cancel Build","ビルドをキャンセルします";
"Rotate Right","右に回る";
"Rotate Left","左に回転";
"Hold
[Left Shift]","ホールド
[左方移動]";
"Release
[Left Shift]","発売される
[左方移動]";
"Fine Rotation","細い回転";
"SHIFT","シフト";
"Control Panel","コントロールパネル";
"[R] Return All Flank Droids","[R]すべての側面のドロイドを返します";
"[1]","[1]";
"Droid Nickname","ドロイドニックネーム";
"Mining Azurnium","山羊院";
"Back [Esc]","戻る[ESC]";
"Stay","滞在";
"Osiris Mission Personal Assistant","オシリスミッションパーソナルアシスタント";
"Alien Blood","外国人の血";
"Small Metal Dome","小さな金属ドーム";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","低コストであり、加圧を可能にする軽量の壁が装甲と温度調節には低いです。";
"[MIDDLE MOUSE WHEEL]","[マウスホイール]";
"Build Structure","建築構造";
"Hint: Hold action button longer to build object with more health.","ヒント：アクションボタンを押すと、より多くの健康状態でオブジェクトを構築するために長くなります。";
"Hold","ホールド";
"COMPLETE","コンプリート";
"DISCOVERED","発見しました";
"Hold Right Click","右クリックしてください";
"Nickname","ニックネーム";
"Conduit Bender","コンジットベンダー";
"Build Goal
","ビルドゴールを築きます
";
"Avatar Name","アバターの名前";
"Action","アクション";
"*Colony naming not yet available","*まだ利用できないコロニーネーミング";
"Party","パーティー";
"Physical Stats","物理統計";
"Stat Points:","スタートポイント：";
"Proficiencies","環境";
"Combat","戦闘";
"Engineering","エンジニアリング";
"Science","理科";
"Suit Readings","スーツの読み";
"Suit","スーツ";
"

Suit","

スーツ";
"Communications","コミュニケーション";
"Contact Devs","Devs.";
"Mobility","可動性";
"Hover","h h";
"Hover Fuel","ホバー燃料";
"Coming
Soon
","到来
ちょっと
";
"Suit System","スーツシステム";
"Module 1","モジュール1";
"Modules","モジュール";
"Light","光";
"Module","モジュール";
"Attachment Slots","添付ファイルスロット";
"Pants
","撫でれた
";
"Knee Pads","膝パッド";
"ShouldPads","服装";
"External Inventory","外部在庫";
"Take All","すべて取ります";
"Default Sort","デフォルトのソート";
"Alpha Sort","アルファソート";
"Forge","フォージ";
"Storage","ストレージ";
"Upgrades","アップグレード";
"Crafting","cr cr";
"Fuel","燃料";
"Empty","空の";
"FUEL EMPTY","空の燃料";
"Skeliopod Meat","スケ科植物の肉";
"Steel","鋼";
"Patch Tape","パッチテープ";
"Rubber","ゴム";
"Build Recipe","レシピを作る";
"Grilled Alien Meat","エイリアンミートの焼き";
"Fuel Input","燃料入力";
"Any Fuel Item","燃料アイテム";
"Add Fuel","燃料を加える";
"Repair Table","修理テーブル";
"Repair Object","修理オブジェクト";
"Repair Amount","修理金額";
"Repair COsts","修理費用";
"Repair","修復";
"Accessing Data","データへのアクセス";
"Sorting","並べ替え";
"Default","デフォルト";
"Alphabetical","アルファベット順";
"Sort","ソート";
"Urchin Shell","ウルチンシェル";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","土地に見られるウニの一部。生を食べるのは危険ですが、クラフトや料理に使用できます。";
"Equipment Slots","機器スロット";
"Inventory
","在庫
";
"[A] Skills","[A]スキル";
"Crafting [D]","クラフト[D]";
"Exit To Matrix [TAB]","行列を終了する[タブ]";
"Craft","クラフト";
"Utilities","ユーティリティ";
"Defenses","守り";
"Structures","struct struct";
"Appliances","電化製品";
"Underground","地下";
"Spacecraft","宇宙船";
"Space Utilities","スペースユーティリティ";
"Buildable Capacity","建てられた容量";
"Create Goal","目標を作成します";
"[A] Inventory","[a]在庫";
"GPS [D]","GPS [D]";
"Compass","方位磁針";
"Basic Scanning","基本的なスキャン";
"Advanced Scanning","高度なスキャン";
"Compass Target","コンパス目標";
"Target Tracking System","ターゲットトラッキングシステム";
"Cycle Target","サイクルターゲット";
"Resources","リソース";
"Droids
","ドロイド
";
"Basic Scan Mineral","基本スキャンミネラル";
"Low Density Minerals","低密度鉱物";
"Lithium","リチウム";
"Magnesium","マグネシウム";
"Sulfur","硫黄";
"Quartz","石英";
"Obsidian","黒曜石";
"Lonsdaleite","ロンズセライト";
"Diamond","ダイヤモンド";
"Medium Density Minerals","中密度鉱物";
"Titanium","チタン";
"Zirconium","ジルコニウム";
"Chromium","クロム";
"Zinc","亜鉛";
"Tin","錫";
"High Density Minerals","高密度ミネラル";
"Cobalt","コバルト";
"Nickel","ニッケル";
"Copper","銅";
"Molybdenum","モリブデン";
"Silver","銀";
"Lead","鉛";
"Ultra Dense Minerals","超高密度ミネラル";
"Mercury","水星";
"Uranium","ウラン";
"Tungsten","タングステン";
"Gold","ゴールド";
"ZOOM","ズーム";
"Resource  Scanning","リソーススキャン";
"Fabricated","fabric";
"Low Density","低密度";
"Medium Density","中密度";
"High Density","高密度";
"Ultra Dense","超高密度";
"Droid Management","ドロイドマネジメント";
"All
","すべて
";
"O.M.P.A.","o.p.a.";
"O.M.M.A.","o.m.";
"O.M.S.U
","o.s.u.
";
"Droid Type","ドロイドタイプ";
"Patrol","巡回する";
"Follow","follow";
"Send to Position","場所に送る";
"Choose a Position","位置を選択してください";
"Resume","履歴書";
"GPS","GPS";
"[A] CRAFTING","[a]作成しました";
"MISSIONS [D]","ミッション[D]";
"Logs","ログ";
"Voice Logs","ボイスログ";
"Scribe","筆記";
"Operational Mission List","運用ミッションリスト";
"Mission","ミッション";
"Completion","完了";
"Completed Missions","完成したミッション";
"Audio Log Files","オーディオログファイル";
"Current File Name","現在のファイル名";
"Voice Recording","音声録音";
"Recorded By:
Record Time:
Record Date:","：
記録タイム：
記録日：";
"Recording List","録音リスト";
"CPU","CPU";
"Found Voice Logs","ボイスログを見つけました";
"Blueprint","青写真";
"Scribe Server Log","スクライブサーバーログ";
"TIMESTAMP","タイムスタンプ";
"Message","メッセージ";
"Personal","personal personal";
"Colony","コロニー";
"[A] GPS","[a] GPS";
"DISCOVERIES [D]","発見[D]";
"Plants","植物";
"Creatures","creat creat";
"Minerals","鉱物";
"Locations","居場所";
"1. Environment","1.環境";
"2. Osiris EVA Suit","オシリスエヴァスーツ";
"3. Nutrition","3.栄養";
"4. Illness and Injuries","病気とけが";
"5. Navigation","5.ナビゲーション";
"6. Equipment","備品";
"7. Communications","7.通信";
"8. Fortifications","要塞";
"9. Vehicle Piloting","9.車両の操縦士";
"10. O.M.P.A. Manual","o.p.a.マニュアル";
"Overview","概要";
"Effects On Personnel","人員への影響";
"Effects on Equipment","機器への影響";
"Terrain","地形";
"Atmosphere","雰囲気";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1。身体環境は生存率において重要な役割を果たしています。温度、気象系、地形、先住民族の生活形態はすべて、健康と持続可能性に直接的な影響を与えます。これらの要素を知っていること、および彼らが持っている効果は最も重要です。

1-2。予防策、早期認識、および迅速な治療は、機能性の低下と死亡可能な死亡の可能性を最小限に抑えるのに役立ちます。要するに、意識は重要です。
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3。 gliese 581は、エラーの複雑で非難されています。理想的な条件でも、スーツの損傷、脱水および先住民の生き物攻撃の事例が発生する可能性があります。各インスタンスは、不利で潜在的に致命的な結果を避けるために、即時の注意と反応を必要とします。それらが全体的な健康に危険にさらされる可能性があるので、完全性と生存率に耐えることができるので、これらを無視しないことは賢明です。
";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4。機器の種類と目的に応じて変化する劣化係数があります。時間の崩壊と使用法は、地形要素だけでなく劣化の一部を演奏します。スキルポイントが取得されると、機器はより充実し、各項目の寿命を高めることができます。しかし、どの機器も無限の寿命を持っていません。機器の適切な修理や維持管理を維持すると、進行や生存の可能性が促進されます。
";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5。余分な太陽惑星の地形はフェッチ革人になることができ、注意を払って横断しなければなりません。誤った段階はあなたのEVAのスーツを損傷し、壊滅的な違反につながることにつながる可能性があります。それは細心の注意を払って探索するのが曖昧です。

1-6。スロープ。斜面を登ろうとすると、必ずスロープ警告インジケータを見てください。傾斜または衰退のどちらかで30度を超える斜面のために、あなたのトラバーサルの危険性をもたらします。この不均一な地形でジャンプまたは実行しようとすることはお勧めできません。

必要に応じて極端な斜面を横断するために身をかがめることができます。";
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7。各惑星と月には独特のアメリカフェーフメイクがあり、探検能力を経験的に変更します。

1-8。有機フェーフ温度世界の空気と表面の温度は、その雰囲気密度とその星への近さの直接的な結果です。より厚いアトメフェーズには、温室効果が高く、より安定した温度範囲を作ります（その温度は依然として非常に寒いか暑い場合があります）。世界が星に干渉していない場合、またはそうであれば、より薄い雰囲気がより高い範囲の温度を表示します。

1-9。気象パターン。あなたが天候の観点から発見するかもしれないことを知らせることはありません。あなたのEVAスーツは既知の気象状況を処理するように設計されていましたが、極端な状況で損害を与える可能性があります。

ほこりの嵐に巻き込まれたら、嵐がやってくる方向に注意を払うようにしてください。避難所を求めるしかしあなたは嵐からの破片を避けることができます。しゃがみは、束縛の可能性を最大60％まで制限することができます。";
"1. Physical Environment","1.物理的環境";
"Suit Repair","スーツの修理";
