"source","target"
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<color = # 00ffff> <size = 24> u.n.e. Objetivo del equipo </ tamaño> </ color>

<Color = # FFFFFF> Defiende su asentamiento hasta que se agote el temporizador. Al final del juego, ¡si todas tus estructuras todavía están de pie, ganas! </ Color>

<Color = # B4B4B4> Sugerencia: Gane temprano destruyendo todas las cúpulas inflables de Outlander </ Color>


<color = # 00FFFF> <TAMAÑO = 24> Outlander Team Objetivo: </ Tamaño> </ Color>

<Color = # FFFFFF> Ataque el U.N.E. ¡asentamiento! Si destruye alguna de las estructuras de liquidación originales, ¡es una victoria automática! </ Color>

<Color = # B4B4B4> Pista: Use la pistola DART para sedar a las criaturas grandes y montarlas a la batalla </ color>;"
"Ready","Listo;"
"Leave","Licencia;"
"UNIVERSE","UNIVERSO;"
"Creator","Creador;"
"RULES","REGLAS;"
"Players in world","Jugadores en el mundo;"
"Players in universe","Jugadores en universo;"
"Players with Access","Jugadores con acceso;"
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","No hay universos privados para unirse.
¡Crea un nuevo universo e invita a tus amigos a unirse!;"
"View","Vista;"
"Customize Universe","Personalizar universo;"
"Universe Name:","Nombre del universo:;"
"Enter universe name...","Ingrese el nombre del universo ...;"
"Mode:","Modo:;"
"Region:","Región:;"
"Difficulty:","Dificultad:;"
"Normal","Normal;"
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","La forma en que el juego estaba destinado a ser jugado. Lucha contra los elementos, busque recursos y monitoree las lecturas de su traje para mantenerse vivo en los hostiles climas del espacio.;"
"Easy
","Fácil
;"
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","Un Osiris más ligero: Nueva Experiencia Dawn. Aún necesitarás sobrevivir, pero la experiencia es más indulgente. Mejor para los exploradores que quieren menos de qué preocuparse.;"
"Extreme","Extremo;"
"Test your survival skill to its limit. Your success is not assured. ","Pruebe su habilidad de supervivencia a su límite. Su éxito no está seguro.;"
"Creative
","Creativo
;"
"Craft anything you'd like without the worry of creatures  or survival gameplay.","Artesanía cualquier cosa que le gustaría sin la preocupación de las criaturas o el juego de supervivencia.;"
"Custom","Personalizado;"
"Make your Osiris experience perfect for you!","¡Haz que tu experiencia de Osiris sea perfecta para ti!;"
"Delete","Borrar;"
"Invite
Players","Invitación
Jugadores;"
"Update","Actualizar;"
"Advanced Customization","Personalización avanzada;"
"Player","Jugador;"
"Proficiency","Competencia;"
"Stat Points Per Level","Puntos de estadísticas por nivel;"
"Thirst","Sed;"
"Hunger","Hambre;"
"Oxygen
Consumption","Oxígeno
Consumo;"
"Stamina
Consumption","Aguante
Consumo;"
"Flashlight Power Drain (WIP)","Flashlight Power Drenaje (WIP);"
"Fall
Damage","Otoño
Daño;"
"Crash 
Items","Choque
Artículos;"
"Stamina Penalty Duration","Duración de la penalización de la resistencia;"
"No Stamina Speed","Sin velocidad de resistencia;"
"Hover Fuel
Consumption","Flotar combustible
Consumo;"
"Hover 
Duration","Flotar
Duración;"
"Vehicle Fuel
Consumption","Combustible del vehículo
Consumo;"
"Tool/Weapon 
Decay Rate","Herramienta / arma
Tasa de descomposición;"
"Structure Decay Speed","Estructura de velocidad de descomposición;"
"Inventory Weight","Peso de inventario;"
"Item Stack Size","Tamaño de pila del artículo;"
"Encumberance Penalty","Pena de gravamen;"
"Creative Mode
(Infinite Resources and Unlocks)","Modo creativo
(Recursos infinitos y desbloqueos);"
"Invulnerability","Invulnerabilidad;"
"First Person Hit Reaction","Primera persona golpeó reacción;"
"Pickup Animation","Animación de pickup;"
"Auto-Pickup Bonus Resources","Recursos de bonificación Auto-Pickup;"
"Planets","Planetas;"
"Resource Yield","Rendimiento de recursos;"
"Mineral Respawn Rate","Tasa de reaparición mineral;"
"Alien
Population","Extraterrestre
Población;"
"Alien
Damage","Extraterrestre
Daño;"
"Alien
Health","Extraterrestre
Salud;"
"Alien
Hearing","Extraterrestre
Escuchando;"
"Alien
Sight","Extraterrestre
Visión;"
"Alien Suit Breach Chance","Posibilidad de incumplimiento de traje alienígena;"
"Plant Suit Breach Chance","Posibilidad de incumplimiento de traje de planta;"
"Slope Slip Modifier","Modificador de deslizamiento de pendiente;"
"Slope Damage Chance","Puesta de daño de la pendiente;"
"Slope Breach Chance","Puesta de incumplimiento de la pendiente;"
"Weather Cycle Rate","Tasa de ciclo del tiempo;"
"Time Cycle Rate","Tasa de ciclo de tiempo;"
"Storm Damage Chance","Posibilidad de daños por tormenta;"
"Storm Damage Amount","Cantidad de daño de tormenta;"
"Storm Suit Breach Chance","Posibilidad de incumplimiento de traje de tormenta;"
"Storm Spawn Chance","OPORTUNIDAD DE STORT;"
"Storm Length","Longitud de tormenta;"
"Respawn HP","Reaparición hp;"
"Permadeath (WIP)","PERMADEATH (WIP);"
"Drop Inventory On Death","Inventario de caída en la muerte;"
"Require Pressurization to Eat","Exigir la presurización para comer;"
"Allow Space Travel","Permitir viajes espaciales;"
"Invite Friends","Invitar a amigos;"
"You can invite up to 5 friends into your own private universe.","Puedes invitar a 5 amigos a tu propio universo privado.;"
"Friends","Amigos;"
"+ Send Invite","+ Enviar invitación;"
"Invited Players","Jugadores invitados;"
"Uninvite Player","Jugador de unanvito;"
"What's New","Qué hay de nuevo;"
"Space Station Crafting","Centro de la estación espacial;"
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Alise completamente su propia estación espacial en órbita baja. Todos los módulos de la estación pueden interconectarse en cualquier combinación, lo que permite la flexibilidad total en el diseño y el diseño.

Cada módulo tiene su propio propósito y características, incluidas la creación, los sistemas de energía y el almacenamiento.

Las estaciones espaciales están libres de la erosión y los peligros del planetside existente en una atmósfera, creando una opción estratégica interesante para almacenar recursos valiosos.
;"
"Next","próximo;"
"* Just a few of the many modules you can create in Space Station crafting.","* Solo algunos de los muchos módulos que puede crear en la fabricación de la estación espacial.;"
"Nio Biomes","Biomas nio;"
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 aprovecha la nueva tecnología que hemos estado desarrollando que agrega varias zonas y áreas a un mundo.

Hemos duplicado la cantidad de texturas mundiales, prestamos millones de cuchillas de hierba, y pobló innumerables nuevos foliages alienígenas, cada uno de los cuales produce diversos recursos.
;"
"Previous","Anterior;"
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","* Crouching ahora permite un recorrido seguro en terrenos escarpados. Al escalar las pendientes empinadas, aparecerá un indicador de advertencia.;"
"Discovery System
","Sistema de descubrimiento
;"
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Ahora todo lo que observes en tus aventuras ahora se pueden descubrir. Mucho más que un simple logro, el sistema de descubrimiento en realidad desbloquea todos los diversos recursos que cualquier recurso encontrado cederá.

Esencialmente, cada arma o herramienta utilizada en un recurso puede producir un artículo diferente, lo que permite una exploración más científica del sistema solar y todas sus formas de vida.
;"
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* Los géiseres ahora muestran el tipo de gas, junto con las instrucciones sobre cómo cosechar el gas.;"
"GPS Resource Filtering","Filtrado de recursos GPS;"
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Los minerales ahora se pueden filtrar en su GPS actualizado. Esta herramienta muy práctica, que ahora está siempre disponible en su HUD y ya no está unida a su localizador, lee desde sus satélites circundantes y su propio radar de traje interno para crear radios de detección.

Este sistema le mostrará a todos los minerales circundantes, su dureza y densidad, para que pueda encontrar lo que está buscando en sus misiones de elaboración.
;"
"* Satellite Dishes now display a radius for their scanning range.","* Las placas satelitales ahora muestran un radio para su rango de escaneo.;"
"New Skill Tree","Nuevo árbol de habilidad;"
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","Reemplazo del viejo árbol de habilidades, es, uh, el nuevo árbol de habilidades! En lugar de las puertas de Grindy, ahora puede desbloquear habilidades reales o beneficios"" que aumentan sus habilidades."
"* Looting now fully functions on all creatures.","* El saqueo ahora funciona completamente en todas las criaturas.;"
"Removal of Build Gates
","Eliminación de puertas de construcción
;"
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Las puertas de construcción se han ido, lo que sentimos fue arbitraria y decidida. En su lugar, los requisitos previos de la estructura que sentimos tienen más sentido y son más significativos.;"
"Login","Acceso;"
"Password","Contraseña;"
"Remember me on this device","Recuérdame en este dispositivo;"
"Sign In","Iniciar sesión;"
"Go Offline","Salir de línea;"
"Sign Up","Inscribirse;"
"The user information you entered could not be found","La información del usuario que ingresó no se ha encontrado;"
"Confirm Password","confirmar Contraseña;"
"Graphics Settings","Configuración de gráficos;"
"Graphics Quality","Calidad de los gráficos;"
"Terrain Detail
","Detalle del terreno
;"
"Draw Distance","Distancia;"
"Shadows","Oscuridad;"
"Scion Film Grain","Grano de cine scion;"
"Scion Mode","Modo de scion;"
"Scion LUT","Scion lut;"
"Beautify","Embellecer;"
"Dirty Lense","Lenso sucio;"
"Ambient Occlusion","Oclusión ambiental;"
"Depth Of Field","Profundidad de campo;"
"Motion Blur","Desenfoque de movimiento;"
"Anti Aliasing","Anti alias;"
"Volumetric Clouds","Nubes volumétricas;"
"Debug Text","Texto de depuración;"
"Camera And Sound","Cámara y sonido;"
"First Person Field of View","Campo de primera persona;"
"First Person Sprint Field of View","Primera persona Sprint Campo de visión;"
"First Person Camera Bob","Cámara primera persona bob;"
"Third Person Camera Bob","Cámara de tercera persona bob;"
"Glitch FX","Glitch fx;"
"Mouse Sensitivity Horizontal","Sensibilidad del ratón horizontal;"
"Mouse Sensitivity Vertical","Sensibilidad del ratón vertical;"
"Mouse Smooth Step","Paso suave del ratón;"
"Mouse Smooth Weight","Peso suave del ratón;"
"Invert Y","Invertir y;"
"Master Volume","Volumen principal;"
"Music Volume","Volumen de la música;"
"SFX Volume","Volumen SFX;"
"Voice Volume","Volumen de voz;"
"Banter VO","BANTER VO;"
"Cancel","Cancelar;"
"Preview","Avance;"
"Save And Continue","Guardar y continuar;"
"Key Bindings","Atajos de teclado;"
"Open Key Bindings","Abrir encuadernaciones clave;"
"Done","Hecho;"
"Restore Defaults","Restaurar los valores predeterminados;"
"Players:","Jugadores:;"
"Controller:","Controlador:;"
"None","Ninguno;"
"Remove","Eliminar;"
"Calibrate","Calibrar;"
"Assign Controller","Asignar el controlador;"
"Assigned Controllers:","Controladores asignados:;"
"Settings:","Ajustes:;"
"Categories:","Categorías:;"
"Fullscreen","Pantalla completa;"
"Custom Resolution","Resolución personalizada;"
"Resolution","Resolución;"
"Width","Ancho;"
"Enter text...","Ingrese texto...;"
"Bloom","florecer;"
"Film Grain","Grano de la película;"
"First Person Helmet","Casco de primera persona;"
"North Facing Map","Mapa orientado al norte;"
"Erase Experimental Save Data","Borrar el ahorro experimental de datos;"
"HINT: Unequip gun to run faster_","Pista: Guna de unequip para correr más rápido_;"
"Incoming Data","Datos entrantes;"
"Planet Data","Datos del planeta;"
"Loading Persistent Nature","Cargando naturaleza persistente;"
"MULTIPLAYER","Multijugador;"
"PLANET","PLANETA;"
"STRUCTURES","Estructuras;"
"MACHINES","MÁQUINAS;"
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","Osiris: New Dawn todavía está en el acceso temprano. Por favor espere errores. Cuando encuentre algo extraño, ayúdanos informando el problema en los foros de vapor. Gracias y vamos a hacer Osiris: ¡New Dawn Great juntos!;"
"Signing in","Iniciando sesión;"
"Are you sure you want to quit the application?","¿Está seguro de que desea renunciar a la aplicación?;"
"No","No;"
"Yes","sí;"
"Confirmation Code","Código de confirmación;"
"There was an issue connecting to the network.","Hubo un problema que se conecta a la red.;"
"Quit","Dejar;"
"Retry","Rever;"
"HINT: Unequip gun to run faster","Sugerencia: Guna de unequip para correr más rápido;"
"Player Name","Nombre del jugador;"
"Loading Avatar","Cargando avatar;"
"Habitat","Habitat;"
"A Habitat is a multi-purpose room that can house many interior items.","Un hábitat es una sala multiusos que puede albergar muchos artículos interiores.;"
"Add to Backpack","Añadir a la mochila;"
"Equip","Equipar;"
"Store in Inventory","Tienda en inventario;"
"Drink","Beber;"
"Empty out","Vaciar;"
"Drop","Soltar;"
"Customize Colors","Personalizar colores;"
"Primary
","Primario
;"
"LAT","Latino;"
"LONG","LARGO;"
"Missions","Misiones;"
"CRITICAL BREACH","Incumplimiento crítico;"
"Oxygen Low","Oxígeno bajo;"
"Local Time","Hora local;"
"You Are Dehydrated
You are Starving","Estás deshidratado
Estas hambriento;"
"Suit Pressue Low","Traje presionado bajo;"
"You Are FREEZING","Estas congelando;"
"Agility","Agilidad;"
"Fortitude","Fortaleza;"
"HOV","Huevo;"
"HLTH","Hundido;"
"Weight:","Peso:;"
"Inventory","Inventario;"
"Field Guide","Guía de campo;"
"Skills","Habilidades;"
"Build / Craft [F3]","Construir / Craft [F3];"
"Data Selection
Matrix","Selección de datos
Matriz;"
"Env Pressure:","Presión env:;"
"Env Temp:","ENV TEMP:;"
"Personal Data Unit","Unidad de datos personales;"
"Osiris Mission Team","Equipo de la Misión de Osiris;"
"Systems Data Selection","Selección de datos de sistemas;"
"Build 248.517.68200","Construir 248.517.68200;"
"Exit Data Matrix [Tab]","Salir de la matriz de datos [TAB];"
"Log","Tronco;"
"[F4] - Map Settings
[M] - Center Toggle","[F4] - Configuración del mapa
[M] - Centro de palanca;"
"Zoom Out [-]
Zoom In [+]","Disminuir el zoom [-]
Acercar [+];"
"Map Name","Nombre del mapa;"
"Bot","Bot;"
"House","casa;"
"Focus Area","Area de enfoque;"
"Health Area","Área de salud;"
"Scanning","Exploración;"
"Spawn Location","Ubicación;"
"Equip Map To Cycle Targets","Equipar el mapa para acceder a los objetivos.;"
"Aluminum","Aluminio;"
"Iron","Hierro;"
"Nearest Dish
Scanning...","Plato más cercano
Exploración...;"
"Hold [RMB] and Mouse Scroll to Zoom","Sostenga [RMB] y Desplácese del mouse para ampliar;"
"© 2017 Fenix Fire Entertainment","© 2017 Fenix ​​Fire Entertainment;"
"Com Link
","Com enlace
;"
"Mission List","Lista de misión;"
"Warning System
","Sistema de alarma
;"
"o2 / Air Pressure
Internal Temp","O2 / Presión del aire
Temperatura interna;"
"Hydration / Gestation
Respiratory Vitals","Hidratación / gestación
Vitales respiratorios;"
"Saving Data","Guardar datos;"
"Location Type","Tipo de ubicacion;"
"-[ Tool Mode ]-","- [Modo de herramienta] -;"
"Set Target","Poner un objectivo;"
"Confirm Build","Confirmar la construcción;"
"Cancel Build","Cancelar la construcción;"
"Rotate Right","Gira a la derecha;"
"Rotate Left","Girar a la izquierda;"
"Hold
[Left Shift]","Mantener
[Shift izquierdo];"
"Release
[Left Shift]","Lanzamiento
[Shift izquierdo];"
"Fine Rotation","Rotación fina;"
"SHIFT","CAMBIAR;"
"Control Panel","Panel de control;"
"[R] Return All Flank Droids","[R] devuelve todos los droides de flancos;"
"[1]","[1];"
"Droid Nickname","Apodo de droid;"
"Mining Azurnium","Mining Azurnium;"
"Back [Esc]","Atrás [ESC];"
"Stay","Quedarse;"
"Osiris Mission Personal Assistant","Asistente personal de la misión de Osiris;"
"Alien Blood","Sangre extraña;"
"Small Metal Dome","Pequeña cúpula de metal;"
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","Pared ligera que es de bajo costo y permite la presurización, pero es baja en la regulación de la armadura y la temperatura.;"
"[MIDDLE MOUSE WHEEL]","[Rueda de ratón medio];"
"Build Structure","Estructura de construcción;"
"Hint: Hold action button longer to build object with more health.","Sugerencia: mantenga presionado el botón de acción más largo para construir un objeto con más salud.;"
"Hold","Mantener;"
"COMPLETE","COMPLETO;"
"DISCOVERED","DESCUBIERTO;"
"Hold Right Click","Sostenga el botón derecho;"
"Nickname","Apodo;"
"Conduit Bender","Doblador de conductos;"
"Build Goal
","Objetivo de construcción
;"
"Avatar Name","Nombre del avatar;"
"Action","Acción;"
"*Colony naming not yet available","* Colonia nombrando aún no disponible;"
"Party","Fiesta;"
"Physical Stats","Estadísticas físicas;"
"Stat Points:","Puntos de estadísticas:;"
"Proficiencies","Profecencias;"
"Combat","Combate;"
"Engineering","Ingenieria;"
"Science","Ciencias;"
"Suit Readings","Lecturas de traje;"
"Suit","Traje;"
"

Suit","

Traje;"
"Communications","Comunicaciones;"
"Contact Devs","Contacto Devs;"
"Mobility","Movilidad;"
"Hover","Flotar;"
"Hover Fuel","Flotar combustible;"
"Coming
Soon
","Próximo
Pronto
;"
"Suit System","Sistema de traje;"
"Module 1","Módulo 1;"
"Modules","Módulos;"
"Light","Luz;"
"Module","Módulo;"
"Attachment Slots","Slots de fijación;"
"Pants
","Pantalones
;"
"Knee Pads","Rodilleras;"
"ShouldPads","Deberes;"
"External Inventory","Inventario externo;"
"Take All","Tomalo todo;"
"Default Sort","Ordenar por defecto;"
"Alpha Sort","Alpha Sort;"
"Forge","Fragua;"
"Storage","Almacenamiento;"
"Upgrades","Actualizaciones;"
"Crafting","Obra;"
"Fuel","Combustible;"
"Empty","Vacío;"
"FUEL EMPTY","Combustible vacío;"
"Skeliopod Meat","Carne de eskeliopod;"
"Steel","Acero;"
"Patch Tape","Cinta de parche;"
"Rubber","Goma;"
"Build Recipe","Receta de construcción;"
"Grilled Alien Meat","Carne alienígena a la parrilla;"
"Fuel Input","Entrada de combustible;"
"Any Fuel Item","Cualquier elemento de combustible;"
"Add Fuel","Agregue combustible;"
"Repair Table","Mesa de reparación;"
"Repair Object","Objeto de reparación;"
"Repair Amount","Cantidad de reparación;"
"Repair COsts","Costos de reparación;"
"Repair","Reparar;"
"Accessing Data","Accediendo datos;"
"Sorting","Clasificación;"
"Default","Defecto;"
"Alphabetical","Alfabético;"
"Sort","Clasificar;"
"Urchin Shell","Cáscara de erizo;"
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Parte de un erizo encontrado en la tierra. Es peligroso comer crudo, pero puede ser utilizado para la elaboración y cocción.;"
"Equipment Slots","Ranuras de equipo;"
"Inventory
","Inventario
;"
"[A] Skills","[A] habilidades;"
"Crafting [D]","Elaboración [d];"
"Exit To Matrix [TAB]","Salida a Matrix [TAB];"
"Craft","Artesanía;"
"Utilities","Utilidad;"
"Defenses","Defensas;"
"Structures","Estructuras;"
"Appliances","Accesorios;"
"Underground","Bajo tierra;"
"Spacecraft","Astronave;"
"Space Utilities","Utilidades espaciales;"
"Buildable Capacity","Capacidad acumulable;"
"Create Goal","Crear un gol;"
"[A] Inventory","[A] inventario;"
"GPS [D]","GPS [D];"
"Compass","Brújula;"
"Basic Scanning","Escaneo básico;"
"Advanced Scanning","Escaneo avanzado;"
"Compass Target","Objetivo de la brújula;"
"Target Tracking System","Sistema de seguimiento objetivo;"
"Cycle Target","Objetivo de ciclo;"
"Resources","Recursos;"
"Droids
","Droides
;"
"Basic Scan Mineral","Escaneo básico mineral;"
"Low Density Minerals","Minerales de baja densidad;"
"Lithium","Litio;"
"Magnesium","Magnesio;"
"Sulfur","Azufre;"
"Quartz","Cuarzo;"
"Obsidian","Obsidiana;"
"Lonsdaleite","Lonsdaleite;"
"Diamond","Diamante;"
"Medium Density Minerals","Minerales de densidad media;"
"Titanium","Titanio;"
"Zirconium","Circonio;"
"Chromium","Cromo;"
"Zinc","Zinc;"
"Tin","Estaño;"
"High Density Minerals","Minerales de alta densidad;"
"Cobalt","Cobalto;"
"Nickel","Níquel;"
"Copper","Cobre;"
"Molybdenum","Molibdeno;"
"Silver","Plata;"
"Lead","Dirigir;"
"Ultra Dense Minerals","Minerales ultra densos;"
"Mercury","Mercurio;"
"Uranium","Uranio;"
"Tungsten","Tungsteno;"
"Gold","Oro;"
"ZOOM","ZOOM;"
"Resource  Scanning","Escaneo de recursos;"
"Fabricated","Fabricado;"
"Low Density","Baja densidad;"
"Medium Density","Densidad media;"
"High Density","Alta densidad;"
"Ultra Dense","Ultra denso;"
"Droid Management","Gestión de droides;"
"All
","Todas
;"
"O.M.P.A.","O.M.P.A.;"
"O.M.M.A.","O.M.M.A.;"
"O.M.S.U
","O.M.S.U
;"
"Droid Type","Tipo DROID;"
"Patrol","Patrulla;"
"Follow","Seguir;"
"Send to Position","Enviar a la posición;"
"Choose a Position","Elegir una posición;"
"Resume","Reanudar;"
"GPS","GPS;"
"[A] CRAFTING","[A] elaboración;"
"MISSIONS [D]","Misiones [d];"
"Logs","Registros;"
"Voice Logs","Registros de voz;"
"Scribe","Escriba;"
"Operational Mission List","Lista de misión operativa;"
"Mission","Misión;"
"Completion","Terminación;"
"Completed Missions","Misiones completadas;"
"Audio Log Files","Archivos de registro de audio;"
"Current File Name","Nombre del archivo actual;"
"Voice Recording","Grabación de voz;"
"Recorded By:
Record Time:
Record Date:","Grabado por:
Tiempo record:
Grabar fecha:;"
"Recording List","Lista de grabación;"
"CPU","UPC;"
"Found Voice Logs","Encontrado registros de voz;"
"Blueprint","Plano;"
"Scribe Server Log","Registro del servidor Scribe;"
"TIMESTAMP","Marca de tiempo;"
"Message","Mensaje;"
"Personal","Personal;"
"Colony","Colonia;"
"[A] GPS","[A] GPS;"
"DISCOVERIES [D]","Descubrimientos [d];"
"Plants","Plantas;"
"Creatures","Criaturas;"
"Minerals","Minerales;"
"Locations","Ubicaciones;"
"1. Environment","1. Medio ambiente;"
"2. Osiris EVA Suit","2. Osiris EVA traje;"
"3. Nutrition","3. Nutrición;"
"4. Illness and Injuries","4. Enfermedad y lesiones.;"
"5. Navigation","5. Navegación;"
"6. Equipment","6. Equipo;"
"7. Communications","7. Comunicaciones;"
"8. Fortifications","8. Fortificaciones;"
"9. Vehicle Piloting","9. Pilotaje de vehículos;"
"10. O.M.P.A. Manual","10. O.M.P.A. Manual;"
"Overview","Descripción general;"
"Effects On Personnel","Efectos en el personal;"
"Effects on Equipment","Efectos en el equipo;"
"Terrain","Terreno;"
"Atmosphere","Atmósfera;"
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1. El ambiente físico desempeña un papel crucial en la supervivencia. La temperatura, los sistemas climáticos, el terreno y las formas de vida indígena tienen una influencia directa en la salud y la sostenibilidad. Ser consciente de estos elementos y el efecto que tienen es de suma importancia.

1-2. Las medidas preventivas, el reconocimiento temprano y el trato rápido ayudan a minimizar la probabilidad de disminución de la funcionalidad y la posible muerte. En resumen, la conciencia es clave.
;"
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3. Gliese 581 es complejo y implacable de errores. Incluso en condiciones ideales, pueden ocurrir instancias de daño, deshidratación y ataques de criatura indígena. Cada instancia requerirá atención inmediata y respuesta para evitar resultados desfavorables y potencialmente fatales. Es aconsejable no ignorarlos, ya que pueden volverse cada vez más peligrosos para la salud general, la integridad y la supervivencia de la salud.
;"
