"English","italiano";
"Require Pressurization to Eat","Richiedere pressurizzazione da mangiare";
"Allow Space Travel","Consenti viaggi spaziali";
"Invite Friends","Invita gli amici";
"You can invite up to 5 friends into your own private universe.","Puoi invitare fino a 5 amici nel tuo universo privato.";
"Friends","Amici";
"+ Send Invite","+ Invia Invite.";
"Invited Players","Giocatori invitati";
"Uninvite Player","Lettore Uninvite.";
"What's New","Cosa c'è di nuovo";
"Space Station Crafting","Stazione spaziale Crafting.";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Crafting completamente la tua stazione spaziale in orbita bassa. Tutti i moduli della stazione possono interconnettere in qualsiasi combinazione, consentendo la flessibilità totale nel design e nel layout.

Ogni modulo ha il proprio scopo e caratteristiche, tra cui elaborare, sistemi di alimentazione e stoccaggio.

Le stazioni spaziali sono gratuite dall'erosione e dai pericoli del pianeti esistente in un'atmosfera, creando un'opzione strategica interessante per archiviare risorse preziose.
";
"Next","Il prossimo";
"* Just a few of the many modules you can create in Space Station crafting.","* Solo alcuni dei tanti moduli che puoi creare nella stazione spaziale crafting.";
"Nio Biomes","Biomes Nio.";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 sfrutta la nuova tecnologia che abbiamo sviluppato che aggiunge varie zone e aree in un mondo.

Abbiamo raddoppiato la quantità di trame del mondo, ha reso milioni di lame d'erba, e popolati innumerevoli nuovi foliamenti aliene nuovi - ciascuno che produce varie risorse.
";
"Previous","Precedente";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","* Croughing ora consente un attraversamento sicuro su terreni ripidi. Durante la scalata di pendii ripidi, apparirà un indicatore di avviso.";
"Discovery System
","Sistema di scoperta
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Tutto ciò che osservi sulle tue avventure può ora essere scoperto. Molto più di un semplice risultato, il sistema di scoperta invoca effettivamente tutte le varie risorse qualsiasi risorsa trovata cederanno.

Essenzialmente, ogni arma o strumento utilizzata su una risorsa può produrre un oggetto diverso, consentendo un'esplorazione molto più scientifica del sistema solare e tutte le sue forme di vita.
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* I geyser ora visualizzano il tipo di gas, insieme alle istruzioni su come raccogliere il gas.";
"GPS Resource Filtering","Filtro risorse GPS.";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","I minerali possono ora essere filtrati sul tuo GPS aggiornato. Questo strumento molto utile, che ora è sempre disponibile nel tuo HUD e non più collegato al tuo localizzatore, legge dai satelliti circostanti e dal tuo radar interno interno per creare Radii di rilevamento.

Questo sistema ti mostrerà tutti i minerali circostanti, la loro durezza e densità, quindi puoi trovare ciò che stai cercando nelle tue missioni di crafting.
";
"* Satellite Dishes now display a radius for their scanning range.","* I piatti satellitari ora visualizzano un raggio per il loro intervallo di scansione.";
"New Skill Tree","Nuovo albero di abilità";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","Sostituire il vecchio albero di abilità, è, uh, il nuovo albero di abilità! Invece di Gindy Gates, ora puoi sbloccare competenze effettive o "vantaggi" che aumentano le tue abilità.

";
"Got it. Let's Go!","Fatto. Andiamo!";
"* Looting now fully functions on all creatures.","* Il saccheggio ora funziona completamente su tutte le creature.";
"Removal of Build Gates
","Rimozione di cancelli di costruzione
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Le porte di costruzione sono andate, che ci siamo sentiti era arbitraria e macinata. Invece sono i prerequisiti della struttura che sentiamo avere più senso e sono più significativi.";
"Login","Login";
"Password","Parola d'ordine";
"Remember me on this device","Ricordami su questo dispositivo";
"Sign In","Registrati";
"Go Offline","Vai offline";
"Sign Up","Iscriviti";
"The user information you entered could not be found","Le informazioni utente inserite non sono state trovate";
"Confirm Password","conferma password";
"Graphics Settings","Impostazioni grafiche";
"Graphics Quality","Qualità grafica";
"Terrain Detail
","Dettaglio del terreno
";
"Draw Distance","Disegnare distanza";
"Shadows","Ombre";
"Scion Film Grain","Pellicola di SCION GRAIN.";
"Scion Mode","Modalità SCION.";
"Scion LUT","SCION LUT.";
"Beautify","Abbellire";
"Dirty Lense","Lense sporca";
"Ambient Occlusion","Occlusione ambientale";
"Depth Of Field","Profondità di campo";
"Motion Blur","Sfocatura movimento";
"Anti Aliasing","Anti aliasing";
"Volumetric Clouds","Nuvole volumetriche";
"Debug Text","Testo di debug.";
"Camera And Sound","Fotocamera e suono";
"First Person Field of View","Campo di vista della prima persona";
"First Person Sprint Field of View","Campo di vista Sprint della prima persona";
"First Person Camera Bob","Fotocamera della prima persona Bob";
"Third Person Camera Bob","Fotocamera della terza persona Bob";
"Glitch FX","Itch FX.";
"Mouse Sensitivity Horizontal","Sensibilità del mouse orizzontale";
"Mouse Sensitivity Vertical","Sensibilità del mouse Verticale";
"Mouse Smooth Step","Mouse Smooth Step.";
"Mouse Smooth Weight","Peso liscio del mouse";
"Invert Y","Invertire Y.";
"Master Volume","Volume principale";
"Music Volume","Volume musicale";
"SFX Volume","Volume SFX.";
"Voice Volume","Voice Volume.";
"Banter VO","Banter Vo.";
"Cancel","Annulla";
"Preview","Anteprima";
"Save And Continue","Salva e continua";
"Key Bindings","Binding chiave";
"Open Key Bindings","Aprire i collegamenti chiave";
"Done","Fatto";
"Restore Defaults","Ripristina le impostazioni predifinite";
"Players:","Giocatori:";
"Controller:","Controller:";
"None","Nessuna";
"Remove","Rimuovere";
"Calibrate","Calibrare";
"Assign Controller","Assegna il controller";
"Assigned Controllers:","Controller assegnati:";
"Settings:","Impostazioni:";
"Categories:","Categorie:";
"Fullscreen","A schermo intero";
"Custom Resolution","Risoluzione personalizzata";
"Resolution","Risoluzione";
"Width","Larghezza";
"Enter text...","Inserire il testo...";
"Bloom","fioritura";
"Film Grain","Grana della pellicola";
"First Person Helmet","Casco della prima persona";
"North Facing Map","Mappa esposta a nord";
"Erase Experimental Save Data","Cancella i dati di salvataggio sperimentale";
"HINT: Unequip gun to run faster_","SUGGERIMENTO: UNEQUEP GUN PER ESEGUIRE FASTER_";
"Incoming Data","Dati in arrivo";
"Planet Data","Dati del pianeta";
"Loading Persistent Nature","Caricamento della natura persistente";
"MULTIPLAYER","MULTIPLAYER.";
"PLANET","PIANETA";
"STRUCTURES","Strutture";
"MACHINES","Macchine";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","Osiris: New Dawn è ancora in un accesso anticipato. Si prega di aspettarsi bug. Quando trovi qualcosa di strano aiutaci riportando il problema sui forum di Steam. Grazie e facciamo Osiris: New Dawn Grande insieme!";
"Signing in","Registrarsi";
"Are you sure you want to quit the application?","Sei sicuro di voler uscire dall'applicazione?";
"No","No";
"Yes","sì";
"Confirmation Code","Codice di conferma";
"There was an issue connecting to the network.","C'è stato un problema che si connette alla rete.";
"Quit","Smettere";
"Retry","Ricercare";
"HINT: Unequip gun to run faster","SUGGERIMENTO: UNEQUIP PONDON PER GRASARE FASTER";
"Player Name","Nome del giocatore";
"Loading Avatar","Caricamento Avatar.";
"Habitat","Habitat";
"A Habitat is a multi-purpose room that can house many interior items.","Un habitat è una sala polifunzionale che può ospitare molti articoli interni.";
"Add to Backpack","Aggiungi allo zaino";
"Equip","Equipaggiamento";
"Store in Inventory","Conservare in Inventario";
"Drink","Bere";
"Empty out","Vuoto";
"Drop","Far cadere";
"Customize Colors","Personalizza i colori";
"Primary
","Primario
";
"LAT","Lat";
"LONG","LUNGO";
"Missions","Missioni";
"CRITICAL BREACH","Violazione critica";
"Oxygen Low","Ossigeno basso";
"Local Time","Ora locale";
"You Are Dehydrated
You are Starving","Sei disidratato
Stai affamando";
"Suit Pressue Low","Vestito Pressue Low.";
"You Are FREEZING","Stai congelando";
"Agility","Agilità";
"Fortitude","Fortezza";
"HOV","Avvolgente";
"HLTH","Hlth.";
"Weight:","Peso:";
"Inventory","Inventario";
"Field Guide","Guida sul campo";
"Skills","Competenze";
"Build / Craft [F3]","Build / Craft [F3]";
"Data Selection
Matrix","Selezione dei dati
Matrice";
"Env Pressure:","ENV PRESSIONE:";
"Env Temp:","ENV TEMP:";
"Personal Data Unit","Unità di dati personali";
"Osiris Mission Team","Team di missione di Osiris.";
"Systems Data Selection","Selezione dei dati dei sistemi";
"Build 248.517.68200","Costruire 248.517.68200.";
"Exit Data Matrix [Tab]","Esci da matrice dati [scheda]";
"Log","Registrazione";
"[F4] - Map Settings
[M] - Center Toggle","[F4] - Impostazioni della mappa
[M] - Centro interruttore";
"Zoom Out [-]
Zoom In [+]","Zoom indietro [-]
Zoom in [+]";
"Map Name","Nome della mappa";
"Bot","Bot.";
"House","Casa";
"Focus Area","AREA FOCUS";
"Health Area","Area sanitaria";
"Scanning","Scansione";
"Spawn Location","Posizione di spawn";
"Equip Map To Cycle Targets","Equipaggia la mappa per raggiungere i bersagli";
"Aluminum","Alluminio";
"Iron","Ferro";
"Nearest Dish
Scanning...","Piatto più vicino
Scansione ...";
"Hold [RMB] and Mouse Scroll to Zoom","Tieni premuto [RMB] e rotolo del mouse per ingrandire";
"© 2017 Fenix Fire Entertainment","© 2017 Fenix ​​Fire Entertainment";
"Com Link
","COM LINK.
";
"Mission List","Elenco delle missioni";
"Warning System
","Sistema di allarme
";
"o2 / Air Pressure
Internal Temp","o2 / pressione dell'aria
Temperatura interna";
"Hydration / Gestation
Respiratory Vitals","Idratazione / gestazione
Vitali respiratorie";
"Saving Data","Salvataggio dei dati";
"Location Type","Tipo di posizione";
"-[ Tool Mode ]-","- [Modalità strumento] -";
"Set Target","Set target.";
"Confirm Build","Conferma la costruzione";
"Cancel Build","Annulla la costruzione";
"Rotate Right","Ruota a destra";
"Rotate Left","Gira a sinistra";
"Hold
[Left Shift]","Detenere
[Tasto maiuscolo di sinistra]";
"Release
[Left Shift]","pubblicazione
[Tasto maiuscolo di sinistra]";
"Fine Rotation","Rotazione fine";
"SHIFT","CAMBIO";
"Control Panel","Pannello di controllo";
"[R] Return All Flank Droids","[R] restituisce tutti i droidi del fianco";
"[1]","[1]";
"Droid Nickname","Droid Nickname.";
"Mining Azurnium","Minerario azzurro.";
"Back [Esc]","Indietro [Esc]";
"Stay","Rimanere";
"Osiris Mission Personal Assistant","Osiris Mission Personal Assistant";
"Alien Blood","Sangue alieno";
"Small Metal Dome","Piccola cupola di metallo";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","La parete leggera a basso costo e consente la pressurizzazione, ma è bassa sull'armatura e la regolazione della temperatura.";
"[MIDDLE MOUSE WHEEL]","[Ruota centrale mouse]";
"Build Structure","Costruire la struttura";
"Hint: Hold action button longer to build object with more health.","Suggerimento: tenere premuto il pulsante di azione più a lungo per creare oggetto con più salute.";
"Hold","Detenere";
"COMPLETE","COMPLETARE";
"DISCOVERED","Scoperto";
"Hold Right Click","Tieni il clic destro";
"Nickname","Soprannome";
"Conduit Bender","Conduit Bender.";
"Build Goal
","Costruire obiettivo
";
"Avatar Name","Nome dell'avatar";
"Action","Azione";
"*Colony naming not yet available","* Naming della colonia non ancora disponibile";
"Party","Festa";
"Physical Stats","Statistiche fisiche";
"Stat Points:","Puntit Punti:";
"Proficiencies","Profienza";
"Combat","Combattere";
"Engineering","Ingegneria";
"Science","Scienza";
"Suit Readings","Letture dei vestiti";
"Suit","Completo da uomo";
"

Suit","

Completo da uomo";
"Communications","Comunicazioni";
"Contact Devs","Contatta Devs.";
"Mobility","Mobilità";
"Hover","Hover.";
"Hover Fuel","Carburante al volo";
"Coming
Soon
","In arrivo
Presto
";
"Suit System","Sistema di tuta";
"Module 1","Modulo 1";
"Modules","Moduli";
"Light","Leggero";
"Module","Modulo";
"Attachment Slots","Slot per l'attacco";
"Pants
","Pantaloni
";
"Knee Pads","Ginocchiere";
"ShouldPads","Cuoio";
"External Inventory","Inventario esterno";
"Take All","Prendi tutto";
"Default Sort","Ordina predefinita";
"Alpha Sort","Alpha sort.";
"Forge","Fucina";
"Storage","Conservazione";
"Upgrades","Aggiornamenti";
"Crafting","Crafting.";
"Fuel","Carburante";
"Empty","Vuoto";
"FUEL EMPTY","Carburante vuoto";
"Skeliopod Meat","Carne skeliopod";
"Steel","Acciaio";
"Patch Tape","Nastro adesivo";
"Rubber","Gomma da cancellare";
"Build Recipe","Costruire ricette";
"Grilled Alien Meat","Carne aliena grigliata";
"Fuel Input","Ingresso del carburante";
"Any Fuel Item","Qualsiasi articolo di combustibile";
"Add Fuel","Aggiungi carburante";
"Repair Table","Tabella di riparazione";
"Repair Object","Riparazione oggetto";
"Repair Amount","Importo della riparazione";
"Repair COsts","Costi di riparazione";
"Repair","Riparazione";
"Accessing Data","Accesso ai dati";
"Sorting","Ordinamento";
"Default","Predefinito";
"Alphabetical","Alfabetico";
"Sort","Ordinare";
"Urchin Shell","Guscio di urchin";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Parte di un riccio trovato sulla terra. È pericoloso mangiare crudo, ma può essere usato per artigianale e cucinare.";
"Equipment Slots","Slot per attrezzature";
"Inventory
","Inventario
";
"[A] Skills","[A] Abilità";
"Crafting [D]","Crafting [D]";
"Exit To Matrix [TAB]","Esci su Matrix [scheda]";
"Craft","Artigianato";
"Utilities","Utilità";
"Defenses","Difese";
"Structures","Strutture";
"Appliances","Elettrodomestici.";
"Underground","Metropolitana";
"Spacecraft","Navicella spaziale";
"Space Utilities","Utensili spaziali";
"Buildable Capacity","Capacità accertabile";
"Create Goal","Creare un obiettivo";
"[A] Inventory","[A] inventario";
"GPS [D]","GPS [D]";
"Compass","Bussola";
"Basic Scanning","Scansione di base.";
"Advanced Scanning","Scansione avanzata";
"Compass Target","Target della bussola";
"Target Tracking System","Target Tracking System.";
"Cycle Target","Obiettivo del ciclo";
"Resources","Risorse";
"Droids
","Droids.
";
"Basic Scan Mineral","Minerale di base di base";
"Low Density Minerals","Minerali a bassa densità";
"Lithium","Litio";
"Magnesium","Magnesio";
"Sulfur","Zolfo";
"Quartz","Quarzo";
"Obsidian","Obsidiana";
"Lonsdaleite","Lonsdaleite.";
"Diamond","Diamante";
"Medium Density Minerals","Minerali di media densità";
"Titanium","Titanio";
"Zirconium","Zirconio";
"Chromium","Cromo";
"Zinc","Zinco";
"Tin","Lattina";
"High Density Minerals","Minerali ad alta densità";
"Cobalt","Cobalto";
"Nickel","Nichel";
"Copper","Rame";
"Molybdenum","Molibdeno";
"Silver","Argento";
"Lead","Condurre";
"Ultra Dense Minerals","Minerali ultra densi";
"Mercury","Mercurio";
"Uranium","Uranio";
"Tungsten","Tungsteno";
"Gold","Oro";
"ZOOM","INGRANDISCI";
"Resource  Scanning","Scansione delle risorse";
"Fabricated","Fabbricato";
"Low Density","Bassa densità";
"Medium Density","Densità media";
"High Density","Alta densità";
"Ultra Dense","Ultra denso.";
"Droid Management","Droid Management.";
"All
","Tutti
";
"O.M.P.A.","O.m.p.a.";
"O.M.M.A.","O.m.m.a.";
"O.M.S.U
","O.m.s.u.
";
"Droid Type","Droid Type.";
"Patrol","Pattuglia";
"Follow","Seguire";
"Send to Position","Invia alla posizione";
"Choose a Position","Scegli una posizione";
"Resume","Curriculum vitae";
"GPS","GPS";
"[A] CRAFTING","[A] Crafting";
"MISSIONS [D]","Missioni [d]";
"Logs","Logs.";
"Voice Logs","Registri vocali";
"Scribe","Scriba";
"Operational Mission List","Elenco delle missioni operative";
"Mission","Missione";
"Completion","Completamento";
"Completed Missions","Missioni completate";
"Audio Log Files","File di registro audio.";
"Current File Name","Nome del file corrente";
"Voice Recording","Registrazione vocale";
"Recorded By:
Record Time:
Record Date:","Registrato da:
Tempo record:
Data di registrazione:";
"Recording List","Elenco di registrazione";
"CPU","processore";
"Found Voice Logs","Trovato registri vocali";
"Blueprint","Planimetria";
"Scribe Server Log","Scribe Server Log.";
"TIMESTAMP","Timestamp.";
"Message","Messaggio";
"Personal","Personale";
"Colony","Colonia";
"[A] GPS","[A] GPS";
"DISCOVERIES [D]","Scoperte [D]";
"Plants","Impianti";
"Creatures","Creature";
"Minerals","Minerali";
"Locations","Posizioni";
"1. Environment","1. Ambiente";
"2. Osiris EVA Suit","2. Abito di Osiris Eva";
"3. Nutrition","3. Nutrizione";
"4. Illness and Injuries","4. malattia e infortuni";
"5. Navigation","5. Navigazione";
"6. Equipment","6. Attrezzatura";
"7. Communications","7. Comunicazioni";
"8. Fortifications","8. Fortificazioni";
"9. Vehicle Piloting","9. Pilotaggio del veicolo";
"10. O.M.P.A. Manual","10. O.M.P.A. Manuale";
"Overview","Panoramica";
"Effects On Personnel","Effetti sul personale";
"Effects on Equipment","Effetti sull'attrezzatura";
"Terrain","Terreno";
"Atmosphere","Atmosfera";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1. L'ambiente fisico svolge un ruolo cruciale nella sopravvivenza. La temperatura, i sistemi meteorologici, il terreno e le forme della vita indigena hanno un'influenza diretta sulla salute e sulla sostenibilità. Essere consapevoli di questi elementi e dell'effetto che hanno della massima importanza.

1-2. Le misure preventive, il riconoscimento anticipato e il trattamento rapido aiutano a ridurre al minimo la probabilità di diminuzione della funzionalità e della morte possibile. In breve, la consapevolezza è la chiave.
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3. Gliese 581 è complesso e indimenticabile degli errori. Anche in condizioni ideali, possono verificarsi casi di danno da tuta, disidratazione e attacchi di creatura indigena. Ogni istanza richiederà attenzione immediata e risposta al fine di evitare risultati sfavorevoli e potenzialmente fatali. È saggio non ignorarlo, poiché possono diventare sempre più pericolosi per la salute generale, l'integrità e la sopravvivenza.
";
