"English","Français";
"Gloves","Des gants";
"Legs/Feet","Jambes / pieds";
"Legs","Jambes";
"Knee pads","Genouillères";
"Boots","Bottes";
"Assign Stat Points","Attribuer des points de statistique";
"Speed","La vitesse";
"Health","Santé";
"Strength","Force";
"Stamina","Endurance";
"Stat Points :","Points de statistiques:";
"Assign Skill Points","Attribuer des points de compétence";
"Clear","Dégager";
"Confirm","Confirmer";
"Region","Région";
"Server Name","Nom du serveur";
"Rules","Des règles";
"Days Left","Jours restants";
"Players In World","Joueurs dans le monde";
"Players In Universe","Joueurs dans l'univers";
"US East","Nous est";
"Canada","Canada";
"Asia","Asie";
"Europe","L'Europe ";
"Australia","Australie";
"Japan","Japon";
"South America","Amérique du Sud";
"Favorite","Préféré";
"Join","Rejoindre";
"Refresh","Rafraîchir";
"Colony Defense Lobby","Lobby de défense de colonie";
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<couleur = # 00FFFF> <taille = 24> u.n.e. Objectif d'équipe </ taille> </ couleur>

<Color = # FFFFFF> Défendez votre règlement jusqu'à ce que la minuterie s'épuise. À la fin du jeu, si toutes vos structures sont toujours debout, vous gagnez! </ Couleur>

<Couleur = # B4B4B4> Astuce: Gagnez tôt en détruisant tous les dômes gonflables Outlander </ Couleur>


<couleur = # 00FFFF> <Taille = 24> Outlander Team Objectif: </ Taille> </ Color>

<couleur = # ffffff> attaquer le U.n.e. règlement! Si vous détruisez l'une des structures de règlement d'origine, c'est une victoire automatique! </ Couleur>

<Couleur = # B4B4B4> Astuce: utilisez le pistolet à fléchettes pour assembler de grandes créatures et les faire monter dans la bataille </ couleur>";
"Ready","Prêt";
"Leave","Quitter";
"UNIVERSE","UNIVERS";
"Creator","Créateur";
"RULES","DES RÈGLES";
"Players in world","Joueurs dans le monde";
"Players in universe","Joueurs dans l'univers";
"Players with Access","Joueurs avec accès";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","Aucun univers privé à rejoindre.
Créez un nouvel univers et invitez vos amis à rejoindre!";
"View","Vue";
"Customize Universe","Personnaliser l'univers";
"Universe Name:","Nom de l'univers:";
"Enter universe name...","Entrez le nom de l'univers ...";
"Mode:","Mode:";
"Region:","Région:";
"Difficulty:","Difficulté:";
"Normal","Normal";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","La façon dont le jeu était censé être joué. Combattez les éléments, recherchez des ressources et surveillez vos lectures de costume pour rester en vie dans les climats difficiles.";
"Easy
","Facile
";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","Un briquet osiris: nouvelle expérience de l'aube. Vous aurez toujours besoin de survivre, mais l'expérience est plus indulcée. Mieux vaut les explorateurs qui veulent moins à s'inquiéter.";
"Extreme","Extrême";
"Test your survival skill to its limit. Your success is not assured. ","Testez votre compétence de survie à sa limite. Votre succès n'est pas assuré.";
"Creative
","Créatif
";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","Craft tout ce que vous voulez sans l'inquiétude des créatures ou du gameplay de survie.";
"Custom","Personnalisé";
"Make your Osiris experience perfect for you!","Faites votre expérience d'Osiris parfaite pour vous!";
"Delete","Effacer";
"Invite
Players","Inviter
Joueurs";
"Update","Mettre à jour";
"Advanced Customization","Personnalisation avancée";
"Player","Joueur";
"Proficiency","Compétence";
"Stat Points Per Level","Points de statistiques par niveau";
"Thirst","La soif";
"Hunger","Faim";
"Oxygen
Consumption","Oxygène
Consommation";
"Stamina
Consumption","Endurance
Consommation";
"Flashlight Power Drain (WIP)","Drain de la lampe de poche (WIP)";
"Fall
Damage","Tombe
Endommager";
"Crash 
Items","crash
Articles";
"Stamina Penalty Duration","Durée de pénalité d'endurance";
"No Stamina Speed","Pas de vitesse d'endurance";
"Hover Fuel
Consumption","Planifier
Consommation";
"Hover 
Duration","Flotter
Durée";
"Vehicle Fuel
Consumption","Carburant de véhicule
Consommation";
"Tool/Weapon 
Decay Rate","Outil / arme
Taux de décomposition";
"Structure Decay Speed","Structure de la vitesse de décomposition";
"Inventory Weight","Poids d'inventaire";
"Item Stack Size","Taille de la pile d'articles";
"Encumberance Penalty","Pénalité d'encombrement";
"Creative Mode
(Infinite Resources and Unlocks)","Mode Creative
(Ressources infinies et déverrouillons)";
"Invulnerability","Invulnérabilité";
"First Person Hit Reaction","Première personne frappe la réaction";
"Pickup Animation","Animation de ramassage";
"Auto-Pickup Bonus Resources","Ressources de bonus de ramassage automatique";
"Planets","Planètes";
"Resource Yield","Rendement des ressources";
"Mineral Respawn Rate","Taux de réapparition minérale";
"Alien
Population","Extraterrestre
Population";
"Alien
Damage","Extraterrestre
Endommager";
"Alien
Health","Extraterrestre
Santé";
"Alien
Hearing","Extraterrestre
Audience";
"Alien
Sight","Extraterrestre
Vue";
"Alien Suit Breach Chance","Conversion d'une violation de violence";
"Plant Suit Breach Chance","Costume de plante brèche";
"Slope Slip Modifier","Modificateur de glissement de pente";
"Slope Damage Chance","Chance de dégâts de la pente";
"Slope Breach Chance","Pente de violation";
"Weather Cycle Rate","Taux de cycle du temps";
"Time Cycle Rate","Taux de cycle de temps";
"Storm Damage Chance","Chance de dégâts de tempête";
"Storm Damage Amount","Montant des dommages des tempêtes";
"Storm Suit Breach Chance","Conversion de tempête de violation";
"Storm Spawn Chance","Tempête spawn chance";
"Storm Length","Longueur de tempête";
"Respawn HP","Rehawn HP";
"Permadeath (WIP)","PermaDeath (WIP)";
"Drop Inventory On Death","Drop inventaire sur la mort";
"Require Pressurization to Eat","Exiger la pressurisation pour manger";
"Allow Space Travel","Autoriser les voyages de l'espace";
"Invite Friends","Inviter des amis";
"You can invite up to 5 friends into your own private universe.","Vous pouvez inviter jusqu'à 5 amis dans votre propre univers privé.";
"Friends","Amis";
"+ Send Invite","+ Envoyer inviter";
"Invited Players","Joueurs invités";
"Uninvite Player","Joueur uninvite";
"What's New","Quoi de neuf";
"Space Station Crafting","Station spatiale Crafting";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Créez entièrement votre propre station spatiale en orbite faible. Tous les modules de la station peuvent s'informer de n'importe quelle combinaison, permettant une flexibilité totale dans la conception et la mise en page.

Chaque module a son propre objectif et ses fonctionnalités, y compris les fabricants, les systèmes d'alimentation et le stockage.

Les stations spatiales sont exemptes d'érosion et de dangers de la planification existante dans une atmosphère, créant une option stratégique intéressante pour stocker des ressources précieuses.
";
"Next","Suivant";
"* Just a few of the many modules you can create in Space Station crafting.","* Quelques-uns des nombreux modules que vous pouvez créer dans la station spatiale.";
"Nio Biomes","Nio Biomes";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","ProTeus 2 tire parti de la nouvelle technologie que nous développons qui ajoute diverses zones et zones dans un monde.

Nous avons doublé la quantité de textures du monde, rendu des millions de lames d'herbe et peuplé d'innombrables nouveaux foliaires extraterrestres - chacun donnant diverses ressources.
";
"Previous","Précédent";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","* S'accroupir permet désormais une traversée en toute sécurité sur des terrains raides. Lors de l'escalade des pentes abruptes, un indicateur d'avertissement apparaîtra.";
"Discovery System
","Système de découverte
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Tout ce que vous observez sur vos aventures peut maintenant être découvert. Bien plus qu'une simple réalisation, le système de découverte déverrouille en fait toutes les ressources différentes de toute ressource trouvée.

Essentiellement, chaque arme ou outil utilisé sur une ressource peut générer un élément différent, permettant une exploration beaucoup plus scientifique du système solaire et de toutes ses formes de vie.
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* Les geysers affichent maintenant le type de gaz, ainsi que des instructions sur la manière de récolter le gaz.";
"GPS Resource Filtering","Filtrage des ressources GPS";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Les minéraux peuvent maintenant être filtrés sur votre GPS mis à jour. Cet outil très pratique, qui est maintenant toujours disponible dans votre HUD et n'est plus attaché à votre localisateur, lit depuis vos satellites environnants et votre propre radar de costume interne pour créer des rayons de détection.

Ce système vous montrera tous les minéraux environnants, leur dureté et leur densité, afin que vous puissiez trouver ce que vous recherchez dans vos missions d'artisanat.
";
"* Satellite Dishes now display a radius for their scanning range.","* Les plats satellites affichent maintenant un rayon pour leur gamme de balayage.";
"New Skill Tree","Nouvel arbre de compétence";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","Le remplacement de l'ancien arbre de compétence est, euh, le nouvel arbre de compétence! Au lieu de Gattes Grindy, vous pouvez maintenant déverrouiller des compétences réelles ou des "avantages" qui stimulent vos capacités.

";
"Got it. Let's Go!","J'ai compris. Allons-y!";
"* Looting now fully functions on all creatures.","* Putainer désormais pleinement des fonctions sur toutes les créatures.";
"Removal of Build Gates
","Enlèvement des portes de construction
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Les portes de construction sont parties, ce que nous ressentais était arbitraire et grincheux. Au lieu de cela, des prérequis structurent que nous ressentons plus de sens et sont plus significatifs.";
"Login","Connexion";
"Password","Mot de passe";
"Remember me on this device","Souviens-toi de moi sur cet appareil";
"Sign In","S'identifier";
"Go Offline","Se déconnecter";
"Sign Up","S'inscrire";
"The user information you entered could not be found","Les informations utilisateur que vous avez entrées n'ont pas pu être trouvées";
"Confirm Password","Confirmez le mot de passe";
"Graphics Settings","Paramètres graphiques";
"Graphics Quality","Qualité graphique";
"Terrain Detail
","Détail de terrain
";
"Draw Distance","Démouler";
"Shadows","Ombres";
"Scion Film Grain","Grain de film de scion";
"Scion Mode","Mode Scion";
"Scion LUT","Scion lut";
"Beautify","Embellir";
"Dirty Lense","Lentille";
"Ambient Occlusion","Occlusion ambiante";
"Depth Of Field","Profondeur de champ";
"Motion Blur","Flou de mouvement";
"Anti Aliasing","Anti crénelage";
"Volumetric Clouds","Nuages ​​volumétriques";
"Debug Text","Texte de débogage";
"Camera And Sound","Caméra et son";
"First Person Field of View","Premier champ de vision";
"First Person Sprint Field of View","Première personne Sprint champ de vue";
"First Person Camera Bob","Première personne caméra Bob";
"Third Person Camera Bob","Caméra troisième personne bob";
"Glitch FX","Glitch FX";
"Mouse Sensitivity Horizontal","Sensibilité de la souris horizontale";
"Mouse Sensitivity Vertical","Sensibilité de la souris verticale";
"Mouse Smooth Step","Étape lisse de la souris";
"Mouse Smooth Weight","Souris poids lisse";
"Invert Y","Inverser y";
"Master Volume","Volume principal";
"Music Volume","Volume de la musique";
"SFX Volume","Volume SFX";
"Voice Volume","Volume de voix";
"Banter VO","Bante vo";
"Cancel","Annuler";
"Preview","Aperçu";
"Save And Continue","Sauvegarder et continuer";
"Key Bindings","Raccourcis clavier";
"Open Key Bindings","Liaisons clés ouvertes";
"Done","Fait";
"Restore Defaults","Réinitialiser";
"Players:","Joueurs:";
"Controller:","Manette:";
"None","Rien";
"Remove","Supprimer";
"Calibrate","Étalonner";
"Assign Controller","Assigner contrôleur";
"Assigned Controllers:","Contrôleurs assignés:";
"Settings:","Paramètres:";
"Categories:","Catégories:";
"Fullscreen","Plein écran";
"Custom Resolution","Résolution personnalisée";
"Resolution","Résolution";
"Width","Largeur";
"Enter text...","Entrez du texte...";
"Bloom","floraison";
"Film Grain","Grain de film";
"First Person Helmet","Casque de première personne";
"North Facing Map","Carte vers le nord";
"Erase Experimental Save Data","Effacer les données d'enregistrement expérimentales";
"HINT: Unequip gun to run faster_","Astuce: le pistolet non égal à courir plus vite_";
"Incoming Data","Données entrantes";
"Planet Data","Données de planète";
"Loading Persistent Nature","Chargement de la nature persistante";
"MULTIPLAYER","Multijoueur";
"PLANET","PLANÈTE";
"STRUCTURES","Structures";
"MACHINES","MACHINES";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","Osiris: Une nouvelle aube est toujours ancrée. S'il vous plaît attendez-vous à des insectes. Lorsque vous trouvez quelque chose d'étrange, aidez-nous en signalant le problème sur les forums Steam. Merci et faisons à Osiris: Nouvelle Dawn Grandes ensemble!";
"Signing in","Connectez-vous";
"Are you sure you want to quit the application?","Êtes-vous sûr de vouloir quitter l'application?";
"No","Non";
"Yes","Oui";
"Confirmation Code","Code de confirmation";
"There was an issue connecting to the network.","Il y avait un problème de connexion au réseau.";
"Quit","Quitter";
"Retry","Réessayez";
"HINT: Unequip gun to run faster","Astuce: le pistolet non égal à courir plus vite";
"Player Name","Nom de joueur";
"Loading Avatar","Chargement avatar";
"Habitat","Habitat";
"A Habitat is a multi-purpose room that can house many interior items.","Un habitat est une salle polyvalente qui peut accueillir de nombreux articles intérieurs.";
"Add to Backpack","Ajouter au sac à dos";
"Equip","Équiper";
"Store in Inventory","Stocker dans l'inventaire";
"Drink","Boire";
"Empty out","Vider";
"Drop","Tomber";
"Customize Colors","Personnaliser les couleurs";
"Primary
","Primaire
";
"LAT","Lat";
"LONG","LONGUE";
"Missions","Missions";
"CRITICAL BREACH","Violation critique";
"Oxygen Low","Oxygène faible";
"Local Time","Heure locale";
"You Are Dehydrated
You are Starving","Vous êtes déshydraté
Tu es affamé";
"Suit Pressue Low","Costume pressus bas";
"You Are FREEZING","Vous gelez";
"Agility","Agilité";
"Fortitude","Courage";
"HOV","Huz";
"HLTH","Hlth";
"Weight:","Poids:";
"Inventory","Inventaire";
"Field Guide","Guide de terrain";
"Skills","Compétences";
"Build / Craft [F3]","Construire / Craft [F3]";
"Data Selection
Matrix","Sélection de données
Matrice";
"Env Pressure:","Pression ENV:";
"Env Temp:","Env Temp:";
"Personal Data Unit","Unité de données personnelle";
"Osiris Mission Team","Équipe de mission d'Osiris";
"Systems Data Selection","Sélection de données de systèmes";
"Build 248.517.68200","Construire 248.517.68200";
"Exit Data Matrix [Tab]","Quitter la matrice de données [onglet]";
"Log","Enregistrer";
"[F4] - Map Settings
[M] - Center Toggle","[F4] - Paramètres de la carte
[M] - Centre bascule";
"Zoom Out [-]
Zoom In [+]","Dézoomer [-]
Zoom avant [+]";
"Map Name","Nom de la carte";
"Bot","Bot";
"House","loger";
"Focus Area","Secteur d'intérêt";
"Health Area","Zone de santé";
"Scanning","Balayage";
"Spawn Location","Emplacement de spawn";
"Equip Map To Cycle Targets","Equipez la carte des cibles de cycle";
"Aluminum","Aluminium";
"Iron","Le fer";
"Nearest Dish
Scanning...","Plat le plus proche
Balayage...";
"Hold [RMB] and Mouse Scroll to Zoom","Tenir [RMB] et Souris Scroll pour zoomer";
"© 2017 Fenix Fire Entertainment","© 2017 Fenix ​​Fire Entertainment";
"Com Link
","Com link
";
"Mission List","Liste de mission";
"Warning System
","Système d'alarme
";
"o2 / Air Pressure
Internal Temp","O2 / pression atmosphérique
Tempête interne";
"Hydration / Gestation
Respiratory Vitals","Hydratation / gestation
Valuaux respiratoires";
"Saving Data","La sauvegarde des données";
"Location Type","Type de lieu";
"-[ Tool Mode ]-","- [Mode outil] -";
"Set Target","Choisir la cible";
"Confirm Build","Confirmer la construction";
"Cancel Build","Annuler la construction";
"Rotate Right","Tourner à droite";
"Rotate Left","Tourne à gauche";
"Hold
[Left Shift]","Tenir
[Décalage à gauche]";
"Release
[Left Shift]","Libérer
[Décalage à gauche]";
"Fine Rotation","Rotation finesse";
"SHIFT","CHANGEMENT";
"Control Panel","Panneau de commande";
"[R] Return All Flank Droids","[R] retour tous les droids de flanc";
"[1]","[1]";
"Droid Nickname","Nickname droïde";
"Mining Azurnium","Minier azurnium";
"Back [Esc]","Retour [ESC]";
"Stay","Rester";
"Osiris Mission Personal Assistant","Assistante personnelle de la mission d'Osiris";
"Alien Blood","Sang étranger";
"Small Metal Dome","Petit dôme en métal";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","Mur légère à faible coût et permet une pressurisation, mais est faible sur la régulation de l'armure et de la température.";
"[MIDDLE MOUSE WHEEL]","[Mouette moyenne de la souris]";
"Build Structure","Structure de construction";
"Hint: Hold action button longer to build object with more health.","Astuce: Tenez le bouton d'action plus longtemps pour créer un objet avec plus de santé.";
"Hold","Tenir";
"COMPLETE","ACHEVÉE";
"DISCOVERED","DÉCOUVERT";
"Hold Right Click","Tenir le bouton droit de la souris";
"Nickname","Surnom";
"Conduit Bender","Courant de conduite";
"Build Goal
","Construire un objectif
";
"Avatar Name","Pseudonyme";
"Action","action";
"*Colony naming not yet available","* Nom de la colonie non encore disponible";
"Party","Fête";
"Physical Stats","Statistiques physiques";
"Stat Points:","Points de statistiques:";
"Proficiencies","Profilés";
"Combat","Combat";
"Engineering","Ingénierie";
"Science","La science";
"Suit Readings","Costume lectures";
"Suit","Costume";
"

Suit","

Costume";
"Communications","Communication";
"Contact Devs","Contacter Devs";
"Mobility","Mobilité";
"Hover","Flotter";
"Hover Fuel","Planifier";
"Coming
Soon
","À venir
Bientôt
";
"Suit System","Système de costume";
"Module 1","Module 1";
"Modules","Modules";
"Light","Lumière";
"Module","Module";
"Attachment Slots","Slots d'attachement";
"Pants
","Pantalon
";
"Knee Pads","Genouillères";
"ShouldPads","Devins";
"External Inventory","Inventaire externe";
"Take All","Prendre toutes";
"Default Sort","Trier par défaut";
"Alpha Sort","Tri alpha";
"Forge","La forge";
"Storage","Stockage";
"Upgrades","Mises à niveau";
"Crafting","Façade";
"Fuel","Le carburant";
"Empty","Vider";
"FUEL EMPTY","Carburant vide";
"Skeliopod Meat","Viande de skéliopod";
"Steel","Acier";
"Patch Tape","Ruban adhésif";
"Rubber","Caoutchouc";
"Build Recipe","Recette de construction";
"Grilled Alien Meat","Viande extraterrestre grillée";
"Fuel Input","Entrée de carburant";
"Any Fuel Item","Tout carburant";
"Add Fuel","Ajouter du carburant";
"Repair Table","Table de réparation";
"Repair Object","Objet de réparation";
"Repair Amount","Montant de réparation";
"Repair COsts","Frais de réparation";
"Repair","réparation";
"Accessing Data","Accès à des données";
"Sorting","Tri";
"Default","Défaut";
"Alphabetical","Alphabétique";
"Sort","Sorte";
"Urchin Shell","Shell d'Urchin";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Une partie d'une ourochine trouvée sur terre. Il est dangereux de manger cru, mais peut être utilisé pour l'artisanat et la cuisson.";
"Equipment Slots","Machines à sous";
"Inventory
","Inventaire
";
"[A] Skills","[A] compétences";
"Crafting [D]","Crafting [D]";
"Exit To Matrix [TAB]","Quitter à matrice [onglet]";
"Craft","Artisanat";
"Utilities","Utilité";
"Defenses","Défenses";
"Structures","Structures";
"Appliances","appareils électroménagers";
"Underground","Sous la terre";
"Spacecraft","Vaisseau spatial";
"Space Utilities","Utilitaires spatiaux";
"Buildable Capacity","Capacité constructible";
"Create Goal","Créer un objectif";
"[A] Inventory","[A] Inventaire";
"GPS [D]","GPS [D]";
"Compass","Boussole";
"Basic Scanning","Numérisation de base";
"Advanced Scanning","Numérisation avancée";
"Compass Target","Cible de boussole";
"Target Tracking System","Système de suivi cible";
"Cycle Target","Cible de cycle";
"Resources","Ressources";
"Droids
","Droïdes
";
"Basic Scan Mineral","Numérisation de base minérale";
"Low Density Minerals","Minéraux à faible densité";
"Lithium","Lithium";
"Magnesium","Magnésium";
"Sulfur","Soufre";
"Quartz","Quartz";
"Obsidian","Obsidienne";
"Lonsdaleite","Lonsdaleite";
"Diamond","diamant";
"Medium Density Minerals","Minéraux de densité moyenne";
"Titanium","Titane";
"Zirconium","Zirconium";
"Chromium","Chrome";
"Zinc","Zinc";
"Tin","Étain";
"High Density Minerals","Minéraux haute densité";
"Cobalt","Cobalt";
"Nickel","Nickel";
"Copper","Cuivre";
"Molybdenum","Molybdène";
"Silver","Argent";
"Lead","Conduire";
"Ultra Dense Minerals","Minéraux ultra denses";
"Mercury","Mercure";
"Uranium","Uranium";
"Tungsten","Tungstène";
"Gold","Or";
"ZOOM","ZOOM";
"Resource  Scanning","Numérisation des ressources";
"Fabricated","Fabriqué";
"Low Density","Faible densité";
"Medium Density","Densité moyenne";
"High Density","Haute densité";
"Ultra Dense","Ultra dense";
"Droid Management","Gestion droid";
"All
","Tout
";
"O.M.P.A.","O.p.a.";
"O.M.M.A.","O.m.a.";
"O.M.S.U
","O.m.s.u
";
"Droid Type","Type de droïde";
"Patrol","Patrouille";
"Follow","Poursuivre";
"Send to Position","Envoyer à la position";
"Choose a Position","Choisissez une position";
"Resume","Reprendre";
"GPS","GPS";
"[A] CRAFTING","[A] artisanat";
"MISSIONS [D]","Missions [D]";
"Logs","Journaux";
"Voice Logs","Journaux vocaux";
"Scribe","Scribe";
"Operational Mission List","Liste de mission opérationnelle";
"Mission","Mission";
"Completion","Achèvement";
"Completed Missions","Missions complétées";
"Audio Log Files","Fichiers journaux audio";
"Current File Name","Nom du fichier actuel";
"Voice Recording","Enregistrement vocal";
"Recorded By:
Record Time:
Record Date:","Enregistré par:
Temps record:
Date d'enregistrement:";
"Recording List","Liste d'enregistrement";
"CPU","CPU";
"Found Voice Logs","Trouvé des journaux vocaux";
"Blueprint","Plan";
"Scribe Server Log","Journal Scribe Server";
"TIMESTAMP","Horodatage";
"Message","Un message";
"Personal","Personnel";
"Colony","Colonie";
"[A] GPS","[A] GPS";
"DISCOVERIES [D]","Découvertes [D]";
"Plants","Les plantes";
"Creatures","Créatures";
"Minerals","Minéraux";
"Locations","Emplacements";
"1. Environment","1. Environnement";
"2. Osiris EVA Suit","2. Osiris Eva Costume";
"3. Nutrition","3. Nutrition";
"4. Illness and Injuries","4. Maladie et blessures";
"5. Navigation","5. Navigation";
"6. Equipment","6. équipement";
"7. Communications","7. Communications";
"8. Fortifications","8. Fortifications";
"9. Vehicle Piloting","9. Véhicule pilotant";
"10. O.M.P.A. Manual","10. O.M.P.A. Manuel";
"Overview","Aperçu";
"Effects On Personnel","Effets sur le personnel";
"Effects on Equipment","Effets sur l'équipement";
"Terrain","Terrain";
"Atmosphere","Atmosphère";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1. L'environnement physique joue un rôle crucial dans la survie. La température, les systèmes météorologiques, les terrains et les formes de vie autochtones ont toutes une influence directe sur la santé et la durabilité. Être au courant de ces éléments et l'effet qu'ils ont de la plus haute importance.

1-2. Les mesures préventives, la reconnaissance précoce et le traitement rapide contribuent à minimiser la probabilité de diminuer la fonctionnalité et la mort éventuelle. En bref, la sensibilisation est la clé.
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3. Gliese 581 est complexe et impitoyable d'erreurs. Même dans des conditions idéales, des exemples de dommages causés, de déshydratation et de créature indigène peuvent survenir. Chaque instance nécessitera une attention immédiate et une réponse afin d'éviter des résultats défavorables et potentiellement mortels. Il est sage de ne pas les ignorer, car ils peuvent devenir de plus en plus dangereux pour la santé globale, l'intégrité et la survie.
";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4. L'équipement a un facteur de détérioration qui varie en fonction de son type et de son objectif. La carie et l'utilisation de temps jouent une partie de la détérioration, ainsi que des éléments de terrain. À mesure que les points de compétence sont acquis, l'équipement peut devenir plus substantiel et augmenter l'espérance de vie de chaque article. Cependant, aucun de l'équipement n'a une durée de vie infinie. Maintenir une réparation appropriée et l'entretien des équipements facilitera l'avancement et la probabilité de survie.
";
