"English","中文";
"Item Stack Size","项目堆栈大小";
"Encumberance Penalty","诱惑罚款";
"Creative Mode
(Infinite Resources and Unlocks)","创意模式
（无限资源和解锁）";
"Invulnerability","无懈可击";
"First Person Hit Reaction","第一人称反应";
"Pickup Animation","皮卡动画";
"Auto-Pickup Bonus Resources","自动拾取奖金资源";
"Planets","行星";
"Resource Yield","资源收益率";
"Mineral Respawn Rate","矿物重生率";
"Alien
Population","外星人
人口";
"Alien
Damage","外星人
损害";
"Alien
Health","外星人
健康";
"Alien
Hearing","外星人
听力";
"Alien
Sight","外星人
视觉";
"Alien Suit Breach Chance","外星人诉讼违规机会";
"Plant Suit Breach Chance","植物诉讼违规机会";
"Slope Slip Modifier","斜率滑动修饰符";
"Slope Damage Chance","坡损伤机会";
"Slope Breach Chance","斜坡漏洞机会";
"Weather Cycle Rate","天气周期率";
"Time Cycle Rate","时间周期率";
"Storm Damage Chance","风暴伤害机会";
"Storm Damage Amount","风暴损伤金额";
"Storm Suit Breach Chance","风暴诉讼违规机会";
"Storm Spawn Chance","风暴产卵机会";
"Storm Length","风暴长度";
"Respawn HP","重生HP.";
"Permadeath (WIP)","PermAdeath（WIP）";
"Drop Inventory On Death","辍学库存";
"Require Pressurization to Eat","需要加压吃";
"Allow Space Travel","允许空间旅行";
"Invite Friends","邀请朋友";
"You can invite up to 5 friends into your own private universe.","您可以邀请最多5位朋友进入自己的私人宇宙。";
"Friends","朋友们";
"+ Send Invite","+发送邀请";
"Invited Players","邀请玩家";
"Uninvite Player","不公开的球员";
"What's New","什么是新的";
"Space Station Crafting","空间站制作";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","在低轨道中完全制作自己的空间站。所有电台模块都可以在任何组合中互连，允许在设计和布局方面的完全灵活性。

每个模块都有自己的目的和功能，包括制作，电力系统和存储。

空间站摆脱现有阵列的侵蚀和危险在大气层中，创造了一个有趣的战略选择来存储宝贵的资源。
";
"Next","下一个";
"* Just a few of the many modules you can create in Space Station crafting.","*只有少数众多模块，您可以在空间站制作中创建。";
"Nio Biomes","nio biomes.";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2利用新技术，我们一直在开发，将各种区域和地区添加到世界中。

我们已经增加了世界纹理的数量增加了数百万的草叶，并且填充了无数的新外国人叶子 - 每个人都会产生各种资源​​。
";
"Previous","以前的";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","*蹲伏现在允许在陡峭的地形上安全遍历。爬上陡坡时，将出现警告指示。";
"Discovery System
","发现系统
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","您现在可以发现您在冒险中观察的一切。远远超过一个简单的成就，发现系统实际上解锁了任何找到的资源都会产生的所有资源。

基本上，资源上使用的每个武器或工具可以产生不同的项目，允许对太阳系和所有生命形式的远远探索。
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","*间歇泉现在显示气体类型，以及如何收获气体的说明。";
"GPS Resource Filtering","GPS资源过滤";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","现在可以在更新的GPS上过滤矿物质。这款非常方便的工具，现在可以随时可用，不再连接到您的定位器，从周围的卫星读取和您自己的内部套装雷达以创建检测到半径。

该系统将向您展示所有周围的矿物质，其硬度和密度，因此您可以在制作任务中找到您正在寻找的内容。
";
"* Satellite Dishes now display a radius for their scanning range.","*卫星菜肴现在显示了扫描范围的半径。";
"New Skill Tree","新技能树";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","替换旧技能树，是，呃，新技能树！而不是Grindy Gates，您现在可以解锁实际技能或“津贴”，以提高您的能力。

";
"Got it. Let's Go!","知道了。我们走吧！";
"* Looting now fully functions on all creatures.","*抢劫现在全部函数全部功能。";
"Removal of Build Gates
","拆除构建门
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Build Gates已经消失了，我们感觉是任意和磨练的。而是我们觉得我们觉得更有意义的结构先决条件，更有意义。";
"Login","登录";
"Password","密码";
"Remember me on this device","记住我这个设备";
"Sign In","登入";
"Go Offline","下线";
"Sign Up","报名";
"The user information you entered could not be found","找不到您输入的用户信息";
"Confirm Password","确认密码";
"Graphics Settings","图形设置";
"Graphics Quality","图形质量";
"Terrain Detail
","地形细节
";
"Draw Distance","拉距离";
"Shadows","阴影";
"Scion Film Grain","苍米电影粮食";
"Scion Mode","曲米模式";
"Scion LUT","苍蝇lut.";
"Beautify","美化";
"Dirty Lense","肮脏的亮度";
"Ambient Occlusion","环境光遮蔽";
"Depth Of Field","景深";
"Motion Blur","运动模糊";
"Anti Aliasing","抗锯齿";
"Volumetric Clouds","体积云";
"Debug Text","调试文本";
"Camera And Sound","相机和声音";
"First Person Field of View","第一人称视野";
"First Person Sprint Field of View","第一人称冲刺视野";
"First Person Camera Bob","第一人称相机鲍勃";
"Third Person Camera Bob","第三人称相机鲍勃";
"Glitch FX","毛刺fx.";
"Mouse Sensitivity Horizontal","水平鼠标敏感度";
"Mouse Sensitivity Vertical","鼠标灵敏度垂直";
"Mouse Smooth Step","鼠标流畅的步骤";
"Mouse Smooth Weight","小鼠平滑的重量";
"Invert Y","逆变y";
"Master Volume","主音量";
"Music Volume","音乐卷";
"SFX Volume","SFX卷";
"Voice Volume","语音卷";
"Banter VO","Banter vo.";
"Cancel","取消";
"Preview","预习";
"Save And Continue","保存并继续";
"Key Bindings","关键绑定";
"Open Key Bindings","打开关键绑定";
"Done","完毕";
"Restore Defaults","恢复默认值";
"Players:","球员：";
"Controller:","控制器：";
"None","没有任何";
"Remove","去掉";
"Calibrate","校准";
"Assign Controller","分配控制器";
"Assigned Controllers:","分配的控制器：";
"Settings:","设置：";
"Categories:","类别：";
"Fullscreen","全屏";
"Custom Resolution","定制解析";
"Resolution","解析度";
"Width","宽度";
"Enter text...","输入文本......";
"Bloom","盛开";
"Film Grain","电影谷物";
"First Person Helmet","第一个人头盔";
"North Facing Map","朝北地图";
"Erase Experimental Save Data","擦除实验保存数据";
"HINT: Unequip gun to run faster_","提示：未能运行速度速度速度_";
"Incoming Data","传入数据";
"Planet Data","行星数据";
"Loading Persistent Nature","加载持久性质";
"MULTIPLAYER","多人游戏";
"PLANET","行星";
"STRUCTURES","结构";
"MACHINES","机器";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","奥西里斯：新黎明仍在早期访问。请期待错误。当你发现一些奇怪的东西通过在Steam论坛上报告问题来帮助我们。谢谢你，让我们成为奥西里斯：新黎明在一起！";
"Signing in","登录中";
"Are you sure you want to quit the application?","您确定要退出申请吗？";
"No","不";
"Yes","是的";
"Confirmation Code","验证码";
"There was an issue connecting to the network.","有一个问题连接到网络。";
"Quit","放弃";
"Retry","重试";
"HINT: Unequip gun to run faster","提示：未更顺上枪跑得更快";
"Player Name","选手姓名";
"Loading Avatar","装载头像";
"Habitat","栖息地";
"A Habitat is a multi-purpose room that can house many interior items.","栖息地是一个多功能的房间，可以容纳许多室内物品。";
"Add to Backpack","加入背包";
"Equip","装备";
"Store in Inventory","存放库存";
"Drink","喝";
"Empty out","清空";
"Drop","降低";
"Customize Colors","自定义颜色";
"Primary
","基本的
";
"LAT","拉特";
"LONG","长";
"Missions","任务";
"CRITICAL BREACH","关键违规行为";
"Oxygen Low","氧气低";
"Local Time","当地时间";
"You Are Dehydrated
You are Starving","你是脱水的
你在挨饿";
"Suit Pressue Low","适用于压力";
"You Are FREEZING","你正在冻结";
"Agility","敏捷";
"Fortitude","坚韧";
"HOV","h";
"HLTH","Hlth.";
"Weight:","重量：";
"Inventory","存货";
"Field Guide","现场指南";
"Skills","技能";
"Build / Craft [F3]","构建/工艺[F3]";
"Data Selection
Matrix","数据选择
矩阵";
"Env Pressure:","ENV压力：";
"Env Temp:","ENV TEMP：";
"Personal Data Unit","个人数据单位";
"Osiris Mission Team","奥西里斯任务团队";
"Systems Data Selection","系统数据选择";
"Build 248.517.68200","建立248.517.68200.";
"Exit Data Matrix [Tab]","退出数据矩阵[选项卡]";
"Log","日志";
"[F4] - Map Settings
[M] - Center Toggle","[F4]  - 地图设置
[M]  - 中心切换";
"Zoom Out [-]
Zoom In [+]","缩小 [-]
放大[+]";
"Map Name","地图名称";
"Bot","机器人";
"House","屋";
"Focus Area","重点地区";
"Health Area","卫生区";
"Scanning","扫描";
"Spawn Location","产卵位置";
"Equip Map To Cycle Targets","装备映射到循环目标";
"Aluminum","铝";
"Iron","铁";
"Nearest Dish
Scanning...","最近的菜
扫描...";
"Hold [RMB] and Mouse Scroll to Zoom","保持[RMB]和鼠标滚动以缩放";
"© 2017 Fenix Fire Entertainment","©2017 Fenix Fire Entertainment";
"Com Link
","COM链接
";
"Mission List","使命列表";
"Warning System
","警告系统
";
"o2 / Air Pressure
Internal Temp","O2 /气压
内部温度";
"Hydration / Gestation
Respiratory Vitals","水合/妊娠
呼吸变化";
"Saving Data","保存数据";
"Location Type","位置类型";
"-[ Tool Mode ]-"," -  [工具模式]  - ";
"Set Target","设定目标";
"Confirm Build","确认构建";
"Cancel Build","取消构建";
"Rotate Right","右旋";
"Rotate Left","向左旋转";
"Hold
[Left Shift]","抓住
[左移]";
"Release
[Left Shift]","释放
[左移]";
"Fine Rotation","细旋转";
"SHIFT","转移";
"Control Panel","控制面板";
"[R] Return All Flank Droids","[R]返回所有侧翼机器人";
"[1]","[1]";
"Droid Nickname","机器人昵称";
"Mining Azurnium","矿山矿业";
"Back [Esc]","回来[esc]";
"Stay","停留";
"Osiris Mission Personal Assistant","Osiris使命个人助理";
"Alien Blood","外星血";
"Small Metal Dome","小金属圆顶";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","轻质墙体成本低，允许加压，但铠装和温度调节较低。";
"[MIDDLE MOUSE WHEEL]","[中鼠标轮]";
"Build Structure","构建结构";
"Hint: Hold action button longer to build object with more health.","提示：按住Action按钮更长的时间以构建具有更多健康的对象。";
"Hold","抓住";
"COMPLETE","完全的";
"DISCOVERED","发现";
"Hold Right Click","右键单击";
"Nickname","昵称";
"Conduit Bender","导管Bender.";
"Build Goal
","建立目标
";
"Avatar Name","头像名称";
"Action","行动";
"*Colony naming not yet available","*污物命名尚未可用";
"Party","派对";
"Physical Stats","物理统计数据";
"Stat Points:","统计点：";
"Proficiencies","诡计不断";
"Combat","战斗";
"Engineering","工程";
"Science","科学";
"Suit Readings","套装读物";
"Suit","套装";
"

Suit","

套装";
"Communications","通讯";
"Contact Devs","联系Devs.";
"Mobility","移动性";
"Hover","徘徊";
"Hover Fuel","悬停燃料";
"Coming
Soon
","未来
很快
";
"Suit System","西装系统";
"Module 1","模块1";
"Modules","模块";
"Light","光";
"Module","模块";
"Attachment Slots","附件插槽";
"Pants
","裤子
";
"Knee Pads","护膝";
"ShouldPads","潮湿";
"External Inventory","外部库存";
"Take All","拿";
"Default Sort","默认排序";
"Alpha Sort","阿尔法排序";
"Forge","锻造";
"Storage","贮存";
"Upgrades","升级";
"Crafting","制作";
"Fuel","燃料";
"Empty","空的";
"FUEL EMPTY","燃料空";
"Skeliopod Meat","Skeliopod肉类";
"Steel","钢";
"Patch Tape","补丁胶带";
"Rubber","橡胶";
"Build Recipe","打造食谱";
"Grilled Alien Meat","烤外星肉";
"Fuel Input","燃料输入";
"Any Fuel Item","任何燃料项目";
"Add Fuel","加油";
"Repair Table","修复表";
"Repair Object","修复对象";
"Repair Amount","维修金额";
"Repair COsts","维修费用";
"Repair","修理";
"Accessing Data","访问数据";
"Sorting","排序";
"Default","默认";
"Alphabetical","按字母顺序排列";
"Sort","种类";
"Urchin Shell","核心壳";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","在土地上发现的核素的一部分。吃原来是危险的，但可用于制作和烹饪。";
"Equipment Slots","设备插槽";
"Inventory
","存货
";
"[A] Skills","[A]技能";
"Crafting [D]","制作[D]";
"Exit To Matrix [TAB]","退出到矩阵[选项卡]";
"Craft","工艺";
"Utilities","公用事业";
"Defenses","辩护";
"Structures","结构";
"Appliances","电器";
"Underground","地下";
"Spacecraft","宇宙飞船";
"Space Utilities","空间公用事业";
"Buildable Capacity","可建立的能力";
"Create Goal","创造目标";
"[A] Inventory","[a]库存";
"GPS [D]","GPS [D]";
"Compass","罗盘";
"Basic Scanning","基本扫描";
"Advanced Scanning","高级扫描";
"Compass Target","指南针目标";
"Target Tracking System","目标跟踪系统";
"Cycle Target","循环目标";
"Resources","资源";
"Droids
","Droids.
";
"Basic Scan Mineral","基本扫描矿物质";
"Low Density Minerals","低密度矿物质";
"Lithium","锂";
"Magnesium","镁";
"Sulfur","硫";
"Quartz","石英";
"Obsidian","黑曜石";
"Lonsdaleite","lonsdaleite.";
"Diamond","钻石";
"Medium Density Minerals","中密度矿物质";
"Titanium","钛";
"Zirconium","锆";
"Chromium","铬";
"Zinc","锌";
"Tin","锡";
"High Density Minerals","高密度矿物质";
"Cobalt","钴";
"Nickel","镍";
"Copper","铜";
"Molybdenum","钼";
"Silver","银";
"Lead","带领";
"Ultra Dense Minerals","超密集矿物质";
"Mercury","汞";
"Uranium","铀";
"Tungsten","钨钨";
"Gold","金子";
"ZOOM","飞涨";
"Resource  Scanning","资源扫描";
"Fabricated","制作";
"Low Density","低密度";
"Medium Density","中密度";
"High Density","高密度";
"Ultra Dense","超密";
"Droid Management","机器人管理";
"All
","全部
";
"O.M.P.A.","o.m.p.a.";
"O.M.M.A.","o..m.a.";
"O.M.S.U
","o.m.s.u.
";
"Droid Type","机器人类型";
"Patrol","巡逻";
"Follow","跟随";
"Send to Position","发送到位";
"Choose a Position","选择一个位置";
"Resume","恢复";
"GPS","全球定位系统";
"[A] CRAFTING","[a]制作";
"MISSIONS [D]","任务[D]";
"Logs","日志";
"Voice Logs","语音日志";
"Scribe","隶";
"Operational Mission List","运营使命列表";
"Mission","使命";
"Completion","完成";
"Completed Missions","完成任务";
"Audio Log Files","音频日志文件";
"Current File Name","当前文件名称";
"Voice Recording","录音";
"Recorded By:
Record Time:
Record Date:","记录：
记录时间：
记录日期：";
"Recording List","录制列表";
"CPU","中央处理器";
"Found Voice Logs","找到了语音日志";
"Blueprint","蓝图";
"Scribe Server Log","抄写服务器日志";
"TIMESTAMP","时间戳";
"Message","信息";
"Personal","个人的";
"Colony","殖民地";
"[A] GPS","[A] GPS";
"DISCOVERIES [D]","发现[D]";
"Plants","植物";
"Creatures","生物";
"Minerals","矿物质";
"Locations","地点";
"1. Environment","1.环境";
"2. Osiris EVA Suit","2. Osiris Eva Suit";
"3. Nutrition","3.营养";
"4. Illness and Injuries","4.疾病和伤害";
"5. Navigation","5.导航";
"6. Equipment","6.设备";
"7. Communications","7.通信";
"8. Fortifications","8.防御工事";
"9. Vehicle Piloting","9.车辆试点";
"10. O.M.P.A. Manual","10. o.m.p.a.手动的";
"Overview","概述";
"Effects On Personnel","对人员的影响";
"Effects on Equipment","对设备的影响";
"Terrain","地形";
"Atmosphere","气氛";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1。物理环境在生存中起着至关重要的作用。温度，天气系统，地形和土着生活形式都对健康和可持续性有直接影响。意识到这些要素和它们具有最重要的效果。

1-2。预防措施，早期识别和快速治疗有助于最大限度地减少功能下降的可能性和可能的​​死亡。简而言之，意识是关键。
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3。 Gliese 581是复杂的错误和未能的错误。即使在理想的条件下，可能会出现适应性损坏，脱水和土着生物攻击的情况。每个实例都需要立即关注和响应，以避免不利和潜在的致命结果。聪明的是不忽视这些，因为它们可以对整体健康，适合诚信和生存越来越危险。
";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4。设备具有根据其类型和目的而变化的劣化因素。时间衰退和用法在恶化的部分和地形元素中起作用。由于获得技能点，设备可能变得更加实质性，增加每个项目的预期寿命。然而，没有任何设备都有无限的寿命。保持适当的修复和维护设备将有助于进取生存的可能性和可能性。
";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5。额外的太阳能行星的地形可以有奇妙的，必须小心翼翼地遍历。任何误操作都可能导致损坏您的EVA套装并导致适合突发，这可能是灾难性的。极端谨慎探索它是不可原谅的。

1-6。坡。在尝试爬坡时，请务必查看斜坡警告指示。对于大于30度的斜坡，无论是倾斜还是下降，都会为您的遍历构成危险。不建议试图跳跃或运行这种不均匀的地形。

如果需要，蹲伏可以用来横穿极限斜坡。";
"1-7. Each planet and moon has a unique atmopsheric makeup and will tramatically alter your exploration capabilities.

1-8. Atmopsheric Temperature. The temperature of a world's air and surface is a direct result of its atmopheric density and proximity to its star. Thicker atmopsheres will contain more greenhouse gas effects and create a more stable temperature range (although that temperature may still be extremely cold or hot). Thinner atmopsheres will show a higher range in temperature if the world is not tidally locked to the star, or if so, will ldepend on your geographic location on the world.

1-9. Weather Patterns. There is no telling what you may discover in terms of weather. Your EVA suit was designed to handle known weather situations, but may be suseptible to damage in an extreme situation.

If caught in a Dust Storm, be sure to pay attention to the direction the storm is coming from. Seek shelter however you can to avoid debris from the storm. Crouching can limit the chances of imact by up to 60%.","1-7。每个星球和月亮都有一个独特的恒定化妆，并会纠正探索能力。

1-8。大气温度。世界空气和表面的温度是其大部分密度和偏远的直接导致其明星。较厚的恒温器将含有更多的温室气体效果，并产生更稳定的温度范围（尽管温度仍然可能极冷或热）。如果世界没有被整理锁定在星球上，或者如果是的话，较薄的Empopsheres将在温度下显示更高的温度范围，或者如果是的话，将在世界上的地理位置。

1-9。天气模式。没有讲述你在天气方面可能发现的东西。您的EVA套装旨在处理已知的天气情况，但可能在极端情况下造成损坏。

如果陷入尘暴中，请务必注意风暴来自的方向。尽管如此，您可以避免风暴中的碎屑。蹲伏可以将占地因素限制在60％上。";
"1. Physical Environment","1.身体环境";
"Suit Repair","套装维修";
"Suit Maintenance","适合维护";
"2-1. The EVA Suit designed for the Osiris Mission is equipped with state-of-the-art sensors. These sensors in turn, provided detailed and up-to-the minute status reports on the viability and integrity of the EVA suit. Monitoring these readings in the HUD are integral to survivability. The sensors monitor: oxygen levels, temperature, hydration/nutrition levels, and health and suit health. 

2-2. Oxygen Levels: Monitoring oxygen consumption is integral. Without oxygen, there is no breathing. Be mindful that running and other taxing activity consume more oxygen. Oxygen will replenish based on traces of O2 in the atmosphere.

2-3. Temperature: Maintaining a viable suit temperature is of the utmost importance. Some climes within the Gliese 581 system will harbor environments that are blistering cold, piercingly hot, and variables in between. If the suit becomes too cold, look for ways to increase the temperature, as hypothermia may ensue. If the suit becomes too hot, look for ways to decrease the temperature, as it may result in death.

2-4. Hydration/Nutrition: Hydration is the outer ring while Nutrition is the inner ring.  Hunger and thirst, if not remedied, can cause a decline in health and performance. Your actions such as running and jumping will impact your thirst and hunger.

2-6. Health/Suit Integrity: Health is the outer ring while Suit Integrity is the inner ring. In instances or severe injuries or suit breaches, Oxygen levels will drop. To fix suit breaches or severe injuries, equip and use bandages, either found or crafted. ","2-1。为Osiris Mission设计的EVA套装配备了最先进的传感器。这些传感器又提供了关于EVA套装的可行性和完整性的详细和最新状态报告。监测HUD中的这些读数是不可或缺的能力。传感器监测：氧气水平，温度，水合/营养水平和健康，适合健康。

2-2。氧气水平：监测氧气消耗是积分的。没有氧气，没有呼吸。注意跑步和其他税收活动消耗更多氧气。氧气将基于大气中O2的痕迹补充。

2-3。温度：保持可行的适合温度至关重要。辉丝581系统内的一些渠道将涉及介于寒冷，刺眼的热点和变量之间的环境。如果套装变得太冷，请寻找增加温度的方法，因为可能会随之而来。如果套装变得太热，请寻找减少温度的方法，因为它可能导致死亡。

2-4。水合/营养：水合是外圈，而营养是内圈。饥饿和渴望，如果没有纠正，会导致健康和表现下降。您的行为，如跑步和跳跃将影响您的口渴和饥饿。

2-6。健康/西装诚信：健康是外圈，同时适合完整性是内圈。在实例或严重的伤害或诉讼中，氧气水平将下降。要么发现或制作制作，要修复诉讼或严重伤害，装备和使用绷带。";
