"English","русский";
"Helmet","Шлем";
"Shoulder pads","Наплечники";
"Body","Тело";
"Backpack","Рюкзак";
"Gloves","Перчатки";
"Legs/Feet","Ноги / ноги";
"Legs","Ноги";
"Knee pads","Коленные колодки";
"Boots","Сапоги";
"Assign Stat Points","Назначьте точки статуса";
"Speed","Скорость";
"Health","Здоровье";
"Strength","Сила";
"Stamina","Выносливость";
"Stat Points :","Очки статусов:";
"Assign Skill Points","Назначить точки навыка";
"Clear","ясно";
"Confirm","Подтверждать";
"Region","Область, край";
"Server Name","Имя сервера";
"Rules","Правила";
"Days Left","Дни осталось";
"Players In World","Игроки в мире";
"Players In Universe","Игроки во вселенной";
"US East","США восток";
"Canada","Канада";
"Asia","Азия";
"Europe","Европа";
"Australia","Австралия";
"Japan","Япония";
"South America","Южная Америка";
"Favorite","Любимый";
"Join","Присоединиться";
"Refresh","Освежать";
"Colony Defense Lobby","Оборона колонии лобби";
"<color=#00FFFF><size=24>U.N.E. Team Objective</size></color>

<color=#FFFFFF>Defend your settlement until the timer runs out. At the end of the game, if All of your structures are still standing, You win!</color>

<color=#B4B4B4>Hint: Win early by destroying all of the Outlander Inflatable Domes</color>


<color=#00FFFF><size=24>Outlander Team Objective:</size></color>

<color=#FFFFFF>Attack the U.N.E. settlement! If you destroy any of the original settlement structures, it's an automatic win!</color>

<color=#B4B4B4>Hint: Use the Dart Gun to sedate large creatures and ride them into battle</color>","<color = # 00ffff> <Размер = 24> u.n.e. Цель команды </ Размер> </ color>

<COOLE = # FFFFFF> Защитите свое поселение, пока не закончится таймер. В конце игры, если все ваши структуры все еще стоят, вы выигрываете! </ Color>

<COOL = # B4B4B4> Подсказка: выиграть рано, разрушая все надувные купола OUTLANDER </ COLOR>


<COLOR = # 00FFFF> <Размер = 24> Team Team Outlander: </ Размер> </ color>

<color = # ffffff> атаковать u.n.e. урегулирование! Если вы уничтожите любую из оригинальных структур расчетов, это автоматическая победа! </ COLOR>

<COOL = # B4B4B4> Подсказка: используйте пушку Дартс, чтобы успокоить больших существ и ездить в битве </ color>";
"Ready","Готовый";
"Leave","Покинуть";
"UNIVERSE","Вселенная";
"Creator","Создатель";
"RULES","ПРАВИЛА";
"Players in world","Игроки в мире";
"Players in universe","Игроки во вселенной";
"Players with Access","Игроки с доступом";
"No Private Universes to Join.
Create a New Universe and Invite Your Friends To Join!","Нет частных вселенных, чтобы присоединиться.
Создайте новую вселенную и пригласите своих друзей присоединиться!";
"View","Вид";
"Customize Universe","Настроить вселенную";
"Universe Name:","Имя вселенной:";
"Enter universe name...","Введите имя вселенной ...";
"Mode:","Режим:";
"Region:","Область, край:";
"Difficulty:","Сложность:";
"Normal","Обычный";
"The way the game was meant to be played. Battle the elements, search for resources, and monitor your suit readings to stay alive in the harsh climates of space.","То, как игра должна была сыграна. Сразитесь с элементами, поищите ресурсы и следите за чтениями вашего костюма, чтобы остаться в живых в суровом климате пространства.";
"Easy
","Легкий
";
"A lighter Osiris: New Dawn experience. You will still need to survive, but the experience is more forgiving. Better for explorers who want less to worry about. ","Зажигалка Осирис: новый опыт рассвета. Вам все равно нужно выжить, но опыт больше прощения. Лучше для исследователей, которые хотят меньше беспокоиться.";
"Extreme","Экстремальный";
"Test your survival skill to its limit. Your success is not assured. ","Проверьте свой навык выживания на его предел. Ваш успех не уверен.";
"Creative
","творческий
";
"Craft anything you'd like without the worry of creatures  or survival gameplay.","Создайте что-нибудь, что вы хотели бы без беспокойства существ или геймплей выживания.";
"Custom","Обычай";
"Make your Osiris experience perfect for you!","Сделайте свой опыт Осириса идеально подходящим для вас!";
"Delete","Удалить";
"Invite
Players","Приглашать
Игроки";
"Update","Обновлять";
"Advanced Customization","Расширенная настройка";
"Player","Игрок";
"Proficiency","Местоположение";
"Stat Points Per Level","Очки статусов на уровень";
"Thirst","Жажда";
"Hunger","Голод";
"Oxygen
Consumption","Кислород
Потребление";
"Stamina
Consumption","Выносливость
Потребление";
"Flashlight Power Drain (WIP)","Фонарик слив питания (WIP)";
"Fall
Damage","Падать
Повреждать";
"Crash 
Items","Крушение
Предметы";
"Stamina Penalty Duration","Продолжительность штрафа выносливости";
"No Stamina Speed","Нет скорости выносливости";
"Hover Fuel
Consumption","Haver топливо
Потребление";
"Hover 
Duration","Придурок
Продолжительность";
"Vehicle Fuel
Consumption","Транспортное топливо
Потребление";
"Tool/Weapon 
Decay Rate","Инструмент / оружие
Скорость распада";
"Structure Decay Speed","Скорость структуры распада";
"Inventory Weight","Вес запасов";
"Item Stack Size","Размер стека предмета";
"Encumberance Penalty","Наказание на охлаждении";
"Creative Mode
(Infinite Resources and Unlocks)","Творческий режим
(Бесконечные ресурсы и разблокировки)";
"Invulnerability","Неуязвимость";
"First Person Hit Reaction","Первый человек попал в реакцию";
"Pickup Animation","Пикап анимации";
"Auto-Pickup Bonus Resources","Автоматические бонусные ресурсы";
"Planets","Планеты";
"Resource Yield","Выход ресурсов";
"Mineral Respawn Rate","Скорость минерального возрождения";
"Alien
Population","Чужак
Население";
"Alien
Damage","Чужак
Повреждать";
"Alien
Health","Чужак
Здоровье";
"Alien
Hearing","Чужак
Слушание";
"Alien
Sight","Чужак
Зрение";
"Alien Suit Breach Chance","Чужой костюм нарушает шанс";
"Plant Suit Breach Chance","Заводская костюм нарушает шанс";
"Slope Slip Modifier","Модификатор наклона";
"Slope Damage Chance","Срок ущерба шанс";
"Slope Breach Chance","Наклон нарушил шанс";
"Weather Cycle Rate","Скорость погоды";
"Time Cycle Rate","Скорость времени цикла";
"Storm Damage Chance","Шанс урона шторма";
"Storm Damage Amount","Сумма урона шторма";
"Storm Suit Breach Chance","Шторм костюм нарушает шанс";
"Storm Spawn Chance","Штормовый шанс";
"Storm Length","Длина шторма";
"Respawn HP","Respawn HP.";
"Permadeath (WIP)","Премьер (WIP)";
"Drop Inventory On Death","Капля запаса на смерть";
"Require Pressurization to Eat","Требуется прижатие для еды";
"Allow Space Travel","Разрешить пространство путешествия";
"Invite Friends","Пригласить друзей";
"You can invite up to 5 friends into your own private universe.","Вы можете пригласить до 5 друзей в свою собственную юридическую вселенную.";
"Friends","Друзья";
"+ Send Invite","+ Отправить пригласить";
"Invited Players","Пригласил игроков";
"Uninvite Player","Uninvite Player";
"What's New","Что нового";
"Space Station Crafting","Космическая станция Crafting";
"Fully crafting your own Space Station in low orbit. All station modules can interconnect in any combination, allowing for total flexibility in design and layout.

Each module has its own purpose and features, including crafting, power systems, and storage.

Space Stations are free from the erosion and dangers of the existing planetside in an atmosphere, creating an interesting strategic option to store valuable resources.
","Полностью создавать собственную космическую станцию ​​на низкой орбите. Все модули станции могут соединяться в любой комбинации, что позволяет для общей гибкости в дизайне и макете.

Каждый модуль имеет свои собственные цели и функции, включая крафт, энергосистемы и хранение.

Космические станции свободны от эрозии и опасности существующей планеты в атмосфере, создавая интересный стратегический вариант для хранения ценных ресурсов.
";
"Next","Следующий";
"* Just a few of the many modules you can create in Space Station crafting.","* Просто несколько из множества модулей вы можете создать в космической станции Crafting.";
"Nio Biomes","NIO BIOMES.";
"Proteus 2 takes advantage of the new technology we’ve been developing that adds various zones and areas into a world.

We’ve doubled the amount of world textures, rendered millions of blades of grass, and populated countless new alien foliages - each yielding various resources.
","Proteus 2 использует новые технологии, которые мы развиваем, которая добавляет различные зоны и районы в мир.

Мы удвоили количество мировых текстур, оказанные миллионам лезвий травы, и населены бесчисленные новые инопланетные фолиги - каждый уступающий различные ресурсы.
";
"Previous","Предыдущий";
"* Crouching now allows safe traversal on steep terrains. When climbing steep slopes, a warning indicator will appear.","* Crouching теперь позволяет безопасно проходить на крутых ланерах. При восхождении крутых склонов появится предупреждающий индикатор.";
"Discovery System
","Система обнаружения
";
"Everything you observe on your adventures can now be discovered. Far more than a simple achievement, the Discovery System actually unlocks all the various resources any found resource will yield.

Essentially, each weapon or tool used on a resource may yield a different item, allowing for far more scientific exploration of the solar system and all of its life forms.
","Теперь, что вы наблюдаете в своих приключениях, теперь можно обнаружить. Намного больше, чем простое достижение, система обнаружения фактически разблокирует все различные ресурсы, которые принесет любой найденный ресурс.

По сути, каждое оружие или инструмент, используемый на ресурсе, может привести к различному элементу, что позволяет значительно более научно исследовать солнечную систему и всех его жизненных форм.
";
"* Geysers now display the gas type, along with instructions on how to harvest the gas.","* Гейзеры теперь отображают тип газа наряду с инструкциями о том, как собирать газ.";
"GPS Resource Filtering","Фильтрация ресурсов GPS.";
"Minerals can now be filtered on your updated GPS. This very handy tool, which is now always available in your HUD and no longer attached to your Locator, reads from your surrounding satellites and your own internal suit radar to create detection radii.

This system will show you all the surrounding minerals, their hardness and density, so you can find what you’re looking for in your crafting missions.
","Минералы теперь могут быть отфильтрованы на вашем обновленном GPS. Этот очень удобный инструмент, который теперь всегда доступен в вашем HUD и больше не прикреплен к вашему локатору, читает из ваших окружающих спутников и собственным внутренним костюмом радара для создания радиусов обнаружения.

Эта система покажет вам все окружающие минералы, их твердость и плотность, поэтому вы можете найти то, что вы ищете в своих миссиях по крафтации.
";
"* Satellite Dishes now display a radius for their scanning range.","* Спутниковые блюда теперь отображают радиус для их диапазона сканирования.";
"New Skill Tree","Новое дерево навыков";
"Replacing the old skill tree, is, uh, the new skill tree! Instead of grindy gates, you now can unlock actual skills or “perks” that boost your abilities.

","Заменив старое дерево навыков, это новое дерево навыков! Вместо того, чтобы Grindy Gates вы теперь можете разблокировать фактические навыки или «льготы», которые повышают ваши способности.

";
"Got it. Let's Go!","Понятно. Пойдем!";
"* Looting now fully functions on all creatures.","* Работает сейчас полностью функционирует на всех существах.";
"Removal of Build Gates
","Удаление стробовых ворот
";
"The build gates are gone, which we felt was arbitrary and grindy. Instead are structure prerequisites which we feel make more sense and are more meaningful.","Строительные ворота ушли, которые мы чувствовали себя произвольными и грими. Вместо этого являются структурные предпосылки, которые мы чувствуем, что мы чувствуем больше смысла и являются более значимыми.";
"Login","Авторизоваться";
"Password","Пароль";
"Remember me on this device","Помни меня на этом устройстве";
"Sign In","Войти";
"Go Offline","Перейти в автономном режиме";
"Sign Up","Зарегистрироваться";
"The user information you entered could not be found","Введенная вами информация о пользователе не может быть найдена";
"Confirm Password","Подтвердить Пароль";
"Graphics Settings","Настройки графики";
"Graphics Quality","Качество графики";
"Terrain Detail
","Деталь местности
";
"Draw Distance","Нарисовать расстояние";
"Shadows","Тени";
"Scion Film Grain","Scion Pille зерна";
"Scion Mode","Режим набора";
"Scion LUT","Scion LUT";
"Beautify","Украшать";
"Dirty Lense","Грязная линзия";
"Ambient Occlusion","Окружающая окклюзия";
"Depth Of Field","Глубина резкости";
"Motion Blur","Размытость";
"Anti Aliasing","Сглаживание";
"Volumetric Clouds","Объемные облака";
"Debug Text","Отладка текста";
"Camera And Sound","Камера и звук";
"First Person Field of View","Сфера зрения первого лица";
"First Person Sprint Field of View","Спринт первого лица";
"First Person Camera Bob","Камера первого лица Боб";
"Third Person Camera Bob","Камера третьего лица Боб";
"Glitch FX","Глюк ФХ.";
"Mouse Sensitivity Horizontal","Чувствительность мыши горизонталь";
"Mouse Sensitivity Vertical","Вертикаль чувствительности мыши";
"Mouse Smooth Step","Мышь гладкий шаг";
"Mouse Smooth Weight","Мышь гладкая веса";
"Invert Y","Инвертировать Y.";
"Master Volume","Мастер тома";
"Music Volume","Объем музыки";
"SFX Volume","Объем SFX";
"Voice Volume","Объем голоса";
"Banter VO","Banter Vo.";
"Cancel","Отмена";
"Preview","Предварительный просмотр";
"Save And Continue","Сохранить и продолжить";
"Key Bindings","Ключевые привязки";
"Open Key Bindings","Открыть ключевые привязки";
"Done","Сделанный";
"Restore Defaults","Восстановить значения по умолчанию";
"Players:","Игроки:";
"Controller:","Контроллер:";
"None","Никто";
"Remove","Удалять";
"Calibrate","Калибровать";
"Assign Controller","Назначить контроллер";
"Assigned Controllers:","Присвоенные контроллеры:";
"Settings:","Настройки:";
"Categories:","Категории:";
"Fullscreen","Полноэкранный";
"Custom Resolution","Пользовательское разрешение";
"Resolution","разрешение";
"Width","Ширина";
"Enter text...","Введите текст ...";
"Bloom","цвести";
"Film Grain","Зернистость";
"First Person Helmet","Шлем первого лица";
"North Facing Map","Северо-лицевая карта";
"Erase Experimental Save Data","Стереть экспериментальные данные сохранения данных";
"HINT: Unequip gun to run faster_","Подсказка: Unequip Gun, чтобы запустить быстрее_";
"Incoming Data","Входящие данные";
"Planet Data","Данные планеты";
"Loading Persistent Nature","Загрузка постоянного характера";
"MULTIPLAYER","Многопользовательский";
"PLANET","Планета";
"STRUCTURES","Структуры";
"MACHINES","Машины";
"Osiris: New Dawn is still in Early Access. Please expect bugs. When you find something weird help us by reporting the issue on the Steam Forums. Thank you and let's make Osiris: New Dawn great together!","Осирис: Новый рассвет все еще находится в достреме доступа. Пожалуйста, ожидайте ошибок. Когда вы найдете что-то странное, помогите нам, сообщая о проблеме на паровых форумах. Спасибо и давайте сделаем Осирис: новый рассвет великолепно вместе!";
"Signing in","Подписание внутри";
"Are you sure you want to quit the application?","Вы уверены, что хотите бросить приложение?";
"No","Нет";
"Yes","да";
"Confirmation Code","Код подтверждения";
"There was an issue connecting to the network.","Была проблема, соединяющаяся с сетью.";
"Quit","Покидать";
"Retry","Повторение";
"HINT: Unequip gun to run faster","Подсказка: UneQuip Gun, чтобы запустить быстрее";
"Player Name","Имя игрока";
"Loading Avatar","Загрузка аватара";
"Habitat","Среда обитания";
"A Habitat is a multi-purpose room that can house many interior items.","Хабитат - многоцелевой комната, которая может размещать много внутренних предметов.";
"Add to Backpack","Добавить в рюкзак";
"Equip","Указывать";
"Store in Inventory","Хранить в инвентаре";
"Drink","Напиток";
"Empty out","Опустошить";
"Drop","Уронить";
"Customize Colors","Настроить цвета";
"Primary
","Начальный
";
"LAT","Лат";
"LONG","ДЛИННЫЙ";
"Missions","Миссии";
"CRITICAL BREACH","Критическое нарушение";
"Oxygen Low","Низкий кислород";
"Local Time","Местное время";
"You Are Dehydrated
You are Starving","Вы обезвожены
Вы голодаете";
"Suit Pressue Low","Костюм прессования низкого";
"You Are FREEZING","Вы замораживаете";
"Agility","Ловкость";
"Fortitude","Стойкость";
"HOV","Холдинга";
"HLTH","HLth";
"Weight:","Масса:";
"Inventory","Инвентарь";
"Field Guide","Полевое руководство";
"Skills","Навыки и умения";
"Build / Craft [F3]","Построить / ремесло [F3]";
"Data Selection
Matrix","Выбор данных
Матрица";
"Env Pressure:","Давление env:";
"Env Temp:","Env temp:";
"Personal Data Unit","Единица персональных данных";
"Osiris Mission Team","Команда Миссии Осириса";
"Systems Data Selection","Выбор данных систем";
"Build 248.517.68200","Build 248.517.68200.";
"Exit Data Matrix [Tab]","Выходная матрица данных [Tab]";
"Log","Бревно";
"[F4] - Map Settings
[M] - Center Toggle","[F4] - Настройки карты
[М] - центральный тумблер";
"Zoom Out [-]
Zoom In [+]","Уменьшить [-]
Увеличить [+]";
"Map Name","Название карты";
"Bot","Бот";
"House","жилой дом";
"Focus Area","Зона фокусировки";
"Health Area","Зона здоровья";
"Scanning","Сканирование";
"Spawn Location","Сокращение Местоположение";
"Equip Map To Cycle Targets","Оборудование карты для циклических целей";
"Aluminum","Алюминий";
"Iron","Утюг";
"Nearest Dish
Scanning...","Ближайшее блюдо
Сканирование ...";
"Hold [RMB] and Mouse Scroll to Zoom","Удерживайте [RMB] и выкрутка мыши, чтобы увеличить";
"© 2017 Fenix Fire Entertainment","© 2017 Fenix ​​Fire Entertainment";
"Com Link
","COM LINK
";
"Mission List","Список миссии";
"Warning System
","Система оповещения
";
"o2 / Air Pressure
Internal Temp","o2 / давление воздуха
Внутренняя температура";
"Hydration / Gestation
Respiratory Vitals","Увлажнение / беременность
Респираторные виталии";
"Saving Data","Сохранение данных";
"Location Type","Тип местоположения";
"-[ Tool Mode ]-","- [Режим инструмента] -";
"Set Target","Установить цель";
"Confirm Build","Подтвердить сборку";
"Cancel Build","Отменить сборку";
"Rotate Right","Вращать правильно";
"Rotate Left","Повернуть налево";
"Hold
[Left Shift]","Держать
[Сдвиг влево]";
"Release
[Left Shift]","Релиз
[Сдвиг влево]";
"Fine Rotation","Прекрасное вращение";
"SHIFT","СДВИГ";
"Control Panel","Панель управления";
"[R] Return All Flank Droids","[R] вернуть все фланг дроиды";
"[1]","[1]";
"Droid Nickname","Дроидное псевдоним";
"Mining Azurnium","Добыча азурния";
"Back [Esc]","Назад [Esc]";
"Stay","Остаться";
"Osiris Mission Personal Assistant","Missian Mission Personal Assistant";
"Alien Blood","Инопланетная кровь";
"Small Metal Dome","Маленький металлический купол";
"Lightweight wall that is low cost and allows pressurization, but is low on armor and temperature regulation.","Легкая стена, которая является недорогой стоимостью и позволяет давить нажатие, но низко на доспехах и регуляции температуры.";
"[MIDDLE MOUSE WHEEL]","[Среднее колесо мыши]";
"Build Structure","Создать структуру";
"Hint: Hold action button longer to build object with more health.","Подсказка: Удерживайте кнопку действия дольше, чтобы построить объект с большим количеством здоровья.";
"Hold","Держать";
"COMPLETE","ПОЛНЫЙ";
"DISCOVERED","ОБНАРУЖЕННЫЙ";
"Hold Right Click","Удерживайте правой кнопкой мыши";
"Nickname","Прозвище";
"Conduit Bender","Трубопровод Бендер";
"Build Goal
","Построить цель
";
"Avatar Name","Имя аватара";
"Action","Действие";
"*Colony naming not yet available","* Именование колонии еще не доступно";
"Party","Вечеринка";
"Physical Stats","Физическая статистика";
"Stat Points:","Очки статусов:";
"Proficiencies","Специальность";
"Combat","Бой";
"Engineering","Инженер";
"Science","Наука";
"Suit Readings","Костюм чтения";
"Suit","Подходить";
"

Suit","

Подходить";
"Communications","Коммуникации";
"Contact Devs","Связаться с devs.";
"Mobility","Мобильность";
"Hover","Придурок";
"Hover Fuel","Haver топливо";
"Coming
Soon
","Приходящий
Скоро
";
"Suit System","Система костюма";
"Module 1","Модуль 1.";
"Modules","Модули";
"Light","Свет";
"Module","Модуль";
"Attachment Slots","Слоты вложения";
"Pants
","Штаны
";
"Knee Pads","Коленные колодки";
"ShouldPads","На мельницах";
"External Inventory","Внешний инвентарь";
"Take All","Взять все";
"Default Sort","Сортировка по умолчанию";
"Alpha Sort","Альфа-сортировка";
"Forge","Кузница";
"Storage","Место хранения";
"Upgrades","Обновления";
"Crafting","Оседание";
"Fuel","Топливо";
"Empty","Пустой";
"FUEL EMPTY","Топливо пустое";
"Skeliopod Meat","Скелиопод Мясо";
"Steel","Стали";
"Patch Tape","Патч лента";
"Rubber","Резинка";
"Build Recipe","Построить рецепт";
"Grilled Alien Meat","Жареное инопланетное мясо";
"Fuel Input","Топливный ввод";
"Any Fuel Item","Любое топливо";
"Add Fuel","Добавить топливо";
"Repair Table","Информационный стол";
"Repair Object","Ремонт объекта";
"Repair Amount","Сумма ремонта";
"Repair COsts","Ремонт затрат";
"Repair","Ремонт";
"Accessing Data","Доступ к данным";
"Sorting","Сортировка";
"Default","По умолчанию";
"Alphabetical","Алфавитный";
"Sort","Сортировать";
"Urchin Shell","Urchin shell.";
"Part of an urchin found on land. It's dangerous to eat raw, but can be used for crafting and cooking.","Часть урчина найдена на земле. Опасно едить сырой, но может быть использован для создания и приготовления пищи.";
"Equipment Slots","Слоты оборудования";
"Inventory
","Инвентарь
";
"[A] Skills","[А] навыки";
"Crafting [D]","Ремесло [D]";
"Exit To Matrix [TAB]","Выход в Matrix [Tab]";
"Craft","Ремесло";
"Utilities","Утилиты";
"Defenses","Защита";
"Structures","Структуры";
"Appliances","бытовая техника";
"Underground","Метро";
"Spacecraft","Космический корабль";
"Space Utilities","Космические утилиты";
"Buildable Capacity","СОЗДАТЕЛЬНОСТЬ";
"Create Goal","Создать цель";
"[A] Inventory","[А] инвентарь";
"GPS [D]","GPS [D]";
"Compass","Компас";
"Basic Scanning","Базовое сканирование";
"Advanced Scanning","Расширенное сканирование";
"Compass Target","Цель компаса";
"Target Tracking System","Целевая система отслеживания";
"Cycle Target","Цель цикла";
"Resources","Ресурсы";
"Droids
","Дроиды
";
"Basic Scan Mineral","Основные сканирование минерал";
"Low Density Minerals","Минералы низкой плотности";
"Lithium","Литий";
"Magnesium","Магниевый";
"Sulfur","Сера";
"Quartz","Кварц";
"Obsidian","Обсидиан";
"Lonsdaleite","ЛонсдвиLeite.";
"Diamond","Алмаз";
"Medium Density Minerals","Минералы средней плотности";
"Titanium","Титан";
"Zirconium","Цирконий";
"Chromium","Хромизм";
"Zinc","Цинкол";
"Tin","Банка";
"High Density Minerals","Минералы высокой плотности";
"Cobalt","Кобальт";
"Nickel","Никель";
"Copper","Медь";
"Molybdenum","Молибдена";
"Silver","Серебро";
"Lead","Вести";
"Ultra Dense Minerals","Ультра густые минералы";
"Mercury","Меркурий";
"Uranium","Уран";
"Tungsten","Вольфрам";
"Gold","Золото";
"ZOOM","Zoom.";
"Resource  Scanning","Сканирование ресурсов";
"Fabricated","Изготовлен";
"Low Density","Низкой плотности";
"Medium Density","Средняя плотность";
"High Density","Высокая плотность";
"Ultra Dense","Ультра плотный";
"Droid Management","Управление дроидом";
"All
","Все
";
"O.M.P.A.","O.m.p.a.";
"O.M.M.A.","O.m.m.a.";
"O.M.S.U
","O.M.S.U.
";
"Droid Type","Тип дроида";
"Patrol","Патруль";
"Follow","Следовать";
"Send to Position","Отправить на должность";
"Choose a Position","Выберите позицию";
"Resume","Резюме";
"GPS","GPS";
"[A] CRAFTING","[A] Crafting";
"MISSIONS [D]","Миссии [D]";
"Logs","Журналы";
"Voice Logs","Голосовые журналы";
"Scribe","Писать";
"Operational Mission List","Список операционной миссии";
"Mission","Миссия";
"Completion","Завершение";
"Completed Missions","Завершенные миссии";
"Audio Log Files","Файлы журнала аудио";
"Current File Name","Текущее имя файла";
"Voice Recording","Запись голоса";
"Recorded By:
Record Time:
Record Date:","Записаны:
Время записи:
Дата записи:";
"Recording List","Списка записи";
"CPU","Процессор";
"Found Voice Logs","Найден голосовые журналы";
"Blueprint","Чертеж";
"Scribe Server Log","Журнал Scribe Server";
"TIMESTAMP","Меток времени";
"Message","Сообщение";
"Personal","Личный";
"Colony","Колония";
"[A] GPS","[A] GPS";
"DISCOVERIES [D]","Открытия [d]";
"Plants","Растения";
"Creatures","Существо";
"Minerals","Минералы";
"Locations","Локации";
"1. Environment","1. Окружающая среда";
"2. Osiris EVA Suit","2. Осирис Ева костюм";
"3. Nutrition","3. питание";
"4. Illness and Injuries","4. Болезнь и травмы";
"5. Navigation","5. Навигация";
"6. Equipment","6. Оборудование";
"7. Communications","7. Связь";
"8. Fortifications","8. Укрепления";
"9. Vehicle Piloting","9. Пилотирование автомобиля";
"10. O.M.P.A. Manual","10. O.M.P.A. Руководство по эксплуатации";
"Overview","Обзор";
"Effects On Personnel","Влияние на персонал";
"Effects on Equipment","Эффекты на оборудование";
"Terrain","Ландшафт";
"Atmosphere","Атмосфера";
"1-1. Physical environment plays a crucial role in survival. Temperature, weather systems, terrain and indigenous life forms all have a direct influence on health and sustainability. Being aware of these elements and the effect that they have is of utmost importance.

1-2. Preventive measures, early recognition, and rapid treatment help minimize the likelihood of decreased functionality and possible death. In short, awareness is key.
","1-1. Физическая среда играет решающую роль в выживании. Температура, погодные системы, местность и жизненные формы коренных народов имеют прямое влияние на здоровье и устойчивость. Осознавая эти элементы и эффект, который у них имеет первостепенное значение.

1-2. Превентивные меры, раннее признание и быстрый лечение помогают минимизировать вероятность снижения функциональности и возможной смерти. Короче говоря, осведомленность является ключом.
";
"1-3. Gliese 581 is complex and unforgiving of errors. Even in ideal conditions, instances of suit damage, dehydration and indigenous creature attacks may occur. Each instance will require immediate attention and response in order to avoid unfavorable and potentially fatal outcomes. It is wise not to ignore these, as they can become increasingly hazardous to overall health, suit integrity and survival.
","1-3. GLIESE 581 - это сложный и беспрепятственный ошибкам. Даже в идеальных условиях могут возникнуть случаи повреждения костюма, обезвоживание и атаки коренных народов. Каждый экземпляр потребует немедленного внимания и ответа, чтобы избежать неблагоприятных и потенциально роковых результатов. Мудро не игнорировать их, так как они могут стать все более опасными для общего здоровья, костюма целостности и выживания.
";
"1-4. Equipment has a deterioration factor that varies according to its type and purpose. Time decay and usage plays a part in deterioration, as well as terrain elements. As skill points are acquired, equipment can become more substantial, increasing the life expectancy of each item. However, none of the equipment has an infinite life span. Maintaining proper repair and upkeep of equipment will aid in progress and likelihood of survival.
","1-4. Оборудование имеет фактор ухудшения, который варьируется в зависимости от его типа и цели. Распад времени и использование играет в ухудшении, а также элементы местности. По мере того, как очки навыков приобретены, оборудование может стать более существенным, увеличивая ожидаемую продолжительность жизни каждого товара. Однако ни одно из оборудования не имеет бесконечного пролета. Поддержание надлежащего ремонта и удержания оборудования поможет в прогрессе и вероятности выживания.
";
"1-5. Terrain on extra solar planets can be tretcherous and must be traversed with care. Any misstep can lead to damaging your EVA suit and lead to a suit breach, which can be catastrophic. It's imparitive to explore with extreme caution.

1-6. Slope. When attempting to climb a slope be sure to look at your slope warning indicator. For slopes that are greater than 30 degrees, either at an incline or decline, poses a hazard for your traversal. Attempting to jump or run on this uneven terrain is not advised.

Crouching can be used to traverse extreme slopes if needed.","1-5. Ландшафт на дополнительных солнечных планетах может быть ошеломленными и должен проходить с осторожностью. Любой ошибок может привести к повреждению вашего костюма ЕВА и привести к нарушению костюма, который может быть катастрофическим. Он немало бы исследовать с особой осторожностью.

1-6. Склон. При попытке подняться на наклон Обязательно посмотрите на индикатор предупреждения на склоне. Для склонов, которые превышают на 30 градусов, либо на склоне или снижении, представляют опасность для вашего обхода. Попытка прыгать или бегать на этой неровной местности не рекомендуется.

При необходимости приседает приседание для прохождения крайних склонов.";
